Item ID	Item value	Change in Kuiper test statistic when item removed
MUS81	13.0	-0.010101010101010222
INTS13	11.0	-0.010101010101010222
UBXN2B	13.0	-0.010101010101010222
PPP1R10	12.0	-0.010101010101010333
FAM107A	22.0	0.008417508417508268
CIB1	8.0	0.008417508417508324
BRCA1	16.0	0.008417508417508268
TNF	11.0	-0.010101010101010222
PTTG1	5.0	0.008417508417508324
ADAMTS1	13.0	-0.010101010101010222
MYB	4.0	0.008417508417508324
GTSE1	4.0	0.008417508417508324
TMEM8B	15.0	0.008417508417508268
DUSP1	21.0	0.008417508417508268
SETMAR	13.0	-0.010101010101010222
TUBG2	9.0	0.008417508417508324
OVOL1	10.0	-0.010101010101010222
TUBG1	10.0	-0.010101010101010222
GEM	22.0	0.008417508417508268
EML3	12.0	-0.010101010101010333
THAP1	12.0	-0.010101010101010333
CDC25B	10.0	-0.010101010101010222
RAD51B	21.0	0.008417508417508268
CKS2	11.0	-0.010101010101010222
KIF2C	8.0	0.008417508417508324
L3MBTL1	13.0	-0.010101010101010222
RTEL1	15.0	0.008417508417508268
TUBAL3	22.0	0.008417508417508268
MEPCE	10.0	-0.010101010101010222
CENPC	0.0	0.008417508417508324
AURKA	9.0	0.008417508417508324
CCNB1	10.0	-0.010101010101010222
CHTF8	12.0	-0.010101010101010333
RECQL5	14.0	0.008417508417508268
CCL2	12.0	-0.010101010101010333
STOX1	3.0	0.008417508417508324
BRD4	24.0	0.008417508417508268
CDKN2B	11.0	-0.010101010101010222
RRM2	11.0	-0.010101010101010222
ATAD5	0.0	0.008417508417508324
INTS3	15.0	0.008417508417508268
FOXN3	2.0	0.008417508417508324
KLF4	22.0	0.008417508417508268
NLE1	13.0	-0.010101010101010222
POLA1	18.0	0.008417508417508268
RGCC	1.0	0.008417508417508324
BCL6	22.0	0.008417508417508268
CENPJ	12.0	-0.010101010101010333
TUBGCP5	1.0	0.008417508417508324
TRIM35	20.0	0.008417508417508268
NABP1	13.0	-0.010101010101010222
TUBGCP6	12.0	-0.010101010101010333
TUBGCP3	1.0	0.008417508417508324
CALM1	4.0	0.008417508417508324
HSPA1A	13.0	-0.010101010101010222
