Item ID	Item value	Change in Kuiper test statistic when item removed
TDRKH	12.0	0.0025218307738631984
CLIC5	10.0	-0.0021077988557665073
LY6K	14.0	0.010237880156579227
INTS13	7.0	-0.0021077988557665073
BMPR2	-4.0	-0.0067374284853961575
SERPINE2	-3.0	-0.0067374284853961575
TNFAIP6	18.0	0.010237880156579338
SPIN3	12.0	0.0025218307738631984
SLC2A1	-2.0	-0.0067374284853961575
CIB1	4.0	-0.0067374284853961575
ADM	-2.0	-0.0067374284853961575
ZCWPW1	10.0	-0.0021077988557665073
THBD	10.0	-0.0021077988557665073
ENDOU	-2.0	-0.0067374284853961575
ING2	-2.0	-0.0067374284853961575
RGS2	6.0	-0.0021077988557665073
PTTG1	1.0	-0.0067374284853961575
ADAMTS1	9.0	-0.0021077988557665073
HYAL3	10.0	-0.0021077988557665073
ZNF449	6.0	-0.0021077988557665073
UBXN8	11.0	-0.002107798855766174
JUNB	5.0	-0.0021077988557665073
TP63	18.0	0.010237880156579338
GAMT	7.0	-0.0021077988557665073
OVGP1	-2.0	-0.0067374284853961575
IL4R	4.0	-0.0067374284853961575
ITGA3	5.0	-0.0021077988557665073
STRBP	12.0	0.0025218307738631984
C3ORF62	18.0	0.010237880156579338
RFX2	-4.0	-0.0067374284853961575
OVOL1	6.0	-0.0021077988557665073
PRLR	1.0	-0.0067374284853961575
RAD23B	-2.0	-0.0067374284853961575
TLE6	5.0	-0.0021077988557665073
KRT9	3.0	-0.0067374284853961575
TGFBR2	-2.0	-0.0067374284853961575
WDR77	9.0	-0.0021077988557665073
CDC25B	6.0	-0.0021077988557665073
AR	10.0	-0.0021077988557665073
GORASP2	-2.0	-0.0067374284853961575
TYRO3	11.0	-0.002107798855766174
FETUB	11.0	-0.002107798855766174
SNRPA1	-2.0	-0.0067374284853961575
PLCB1	18.0	0.010237880156579338
CFTR	12.0	0.0025218307738631984
OSBP2	-3.0	-0.0067374284853961575
BIRC3	9.0	-0.0021077988557665073
KDM3A	0.0	-0.0067374284853961575
NPR2	13.0	0.010237880156579227
PTAFR	4.0	-0.0067374284853961575
FBLN1	17.0	0.010237880156579227
MST1R	7.0	-0.0021077988557665073
HOXD10	1.0	-0.0067374284853961575
SPATA6	-4.0	-0.0067374284853961575
ARNTL	0.0	-0.0067374284853961575
AURKA	5.0	-0.0021077988557665073
HSD11B2	-1.0	-0.0067374284853961575
BRIP1	-3.0	-0.0067374284853961575
BCL2L11	8.0	-0.0021077988557665073
TSPAN8	11.0	-0.002107798855766174
IGFBP7	18.0	0.010237880156579338
CCT5	6.0	-0.0021077988557665073
JAM2	13.0	0.010237880156579227
APOL2	11.0	-0.002107798855766174
PLEKHA1	-1.0	-0.0067374284853961575
FANCL	10.0	-0.0021077988557665073
ZBTB16	15.0	0.010237880156579227
FANCC	9.0	-0.0021077988557665073
ELL3	10.0	-0.0021077988557665073
VEGFA	0.0	-0.0067374284853961575
TSGA10	11.0	-0.002107798855766174
GJB2	0.0	-0.0067374284853961575
TPPP3	-2.0	-0.0067374284853961575
CABYR	13.0	0.010237880156579227
BCL6	18.0	0.010237880156579338
TUBGCP3	-3.0	-0.0067374284853961575
GHRL	20.0	0.0179539295392952
GLIPR1L2	8.0	-0.0021077988557665073
NECTIN3	8.0	-0.0021077988557665073
RECK	11.0	-0.002107798855766174
ADA	10.0	-0.0021077988557665073
SLC26A6	9.0	-0.0021077988557665073
