Item ID	Item value	Change in Kuiper test statistic when item removed
TDRKH	16.0	0.028735632183908066
PUS10	13.0	-0.005747126436781547
RNASEL	13.0	-0.005747126436781547
AARS2	14.0	-0.005747126436781436
MEPCE	10.0	0.028735632183908177
RRP1	8.0	0.028735632183908177
NOL9	12.0	-0.005747126436781547
KRI1	11.0	-0.005747126436781547
TSEN2	12.0	-0.005747126436781547
MRM1	12.0	-0.005747126436781547
WDR46	11.0	-0.005747126436781547
THG1L	13.0	-0.005747126436781547
EXOSC7	4.0	0.028735632183908177
HENMT1	15.0	0.00143678160919547
TRMT1L	13.0	-0.005747126436781547
ZNF143	14.0	-0.005747126436781436
TRMT10A	12.0	-0.005747126436781547
NSUN5P1	13.0	-0.005747126436781547
TRMT10B	12.0	-0.005747126436781547
METTL1	13.0	-0.005747126436781547
NSUN5	13.0	-0.005747126436781547
INTS3	15.0	0.00143678160919547
ADAT1	11.0	-0.005747126436781547
BCDIN3D	11.0	-0.005747126436781547
WDR75	1.0	0.028735632183908177
RPP25L	13.0	-0.005747126436781547
ELL3	14.0	-0.005747126436781436
RPUSD3	11.0	-0.005747126436781547
TRMT13	12.0	-0.005747126436781547
INTS8	13.0	-0.005747126436781547
