Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	14.0	-0.0042124542124543085
ZNF572	12.0	-0.0042124542124541975
SLC27A1	15.0	-0.0042124542124543085
ZNF692	14.0	-0.0042124542124543085
ZMYND8	14.0	-0.0042124542124543085
TNF	11.0	-0.0042124542124541975
FOXQ1	22.0	0.005402930402930384
GJA1	4.0	0.005402930402930384
RGS2	10.0	-0.0010073260073260593
SALL4	3.0	0.005402930402930384
MYB	4.0	0.005402930402930384
DPF3	20.0	0.005402930402930384
SOX7	3.0	0.005402930402930384
TLE2	17.0	0.005402930402930384
CTNNBIP1	3.0	0.005402930402930384
ARID5A	12.0	-0.0042124542124541975
KCTD1	14.0	-0.0042124542124543085
RFX3	23.0	0.005402930402930384
ARID5B	12.0	-0.0042124542124541975
OVOL1	10.0	-0.0010073260073260593
HIC1	13.0	-0.0042124542124541975
THAP1	12.0	-0.0042124542124541975
SAP30	8.0	0.005402930402930495
MAF	1.0	0.005402930402930384
RFX5	12.0	-0.0042124542124541975
ERF	9.0	0.005402930402930439
ZNF559	12.0	-0.0042124542124541975
TIMELESS	15.0	-0.0042124542124543085
ZFPM2	20.0	0.005402930402930384
ATF3	12.0	-0.0042124542124541975
PPID	12.0	-0.0042124542124541975
L3MBTL1	13.0	-0.0042124542124541975
ZNF550	11.0	-0.0042124542124541975
PIF1	10.0	-0.0010073260073260593
TSHZ3	1.0	0.005402930402930384
NOTCH4	16.0	-0.0042124542124541975
MEPCE	11.0	-0.0042124542124541975
NEDD4L	15.0	-0.0042124542124543085
PRDM11	14.0	-0.0042124542124543085
NPAS1	15.0	-0.0042124542124543085
ZBTB2	24.0	0.005402930402930384
ZNF706	14.0	-0.0042124542124543085
ZNF425	13.0	-0.0042124542124541975
MORC2	11.0	-0.0042124542124541975
PPARGC1B	5.0	0.005402930402930384
ZNF540	11.0	-0.0042124542124541975
HEXIM2	14.0	-0.0042124542124543085
EGR1	8.0	0.005402930402930495
WNT10B	15.0	-0.0042124542124543085
TGFB1	7.0	0.005402930402930439
ZBTB16	19.0	0.005402930402930384
NR1D2	13.0	-0.0042124542124541975
FOXN3	2.0	0.005402930402930384
NR4A3	10.0	-0.0010073260073260593
BCL6	22.0	0.005402930402930384
CAPRIN1	1.0	0.005402930402930384
ID1	7.0	0.005402930402930439
BCL3	8.0	0.005402930402930495
NOSTRIN	3.0	0.005402930402930384
NANOG	1.0	0.005402930402930384
HOXD8	22.0	0.005402930402930384
BMPR2	0.0	0.005402930402930384
BRCA1	16.0	-0.0042124542124541975
C1QTNF3	20.0	0.005402930402930384
SDR16C5	13.0	-0.0042124542124541975
FLCN	10.0	-0.0010073260073260593
RBM4	13.0	-0.0042124542124541975
GPER1	1.0	0.005402930402930384
ZNF404	14.0	-0.0042124542124543085
ZNF248	12.0	-0.0042124542124541975
LRRFIP1	1.0	0.005402930402930384
CD34	23.0	0.005402930402930384
KLF12	16.0	-0.0042124542124541975
DUSP1	21.0	0.005402930402930384
PPHLN1	14.0	-0.0042124542124543085
CBFA2T3	14.0	-0.0042124542124543085
ELF3	4.0	0.005402930402930384
CRY1	1.0	0.005402930402930384
IRF7	13.0	-0.0042124542124541975
DCP2	12.0	-0.0042124542124541975
HDAC5	13.0	-0.0042124542124541975
ZBTB49	11.0	-0.0042124542124541975
SATB2	16.0	-0.0042124542124541975
NR1I3	16.0	-0.0042124542124541975
CIART	15.0	-0.0042124542124543085
ARNTL	4.0	0.005402930402930384
BCLAF1	24.0	0.005402930402930384
RECQL5	14.0	-0.0042124542124543085
NFIL3	2.0	0.005402930402930384
TBL1X	17.0	0.005402930402930384
TAF9B	17.0	0.005402930402930384
HES5	11.0	-0.0042124542124541975
BEND5	2.0	0.005402930402930384
ATF7IP	17.0	0.005402930402930384
IL33	15.0	-0.0042124542124543085
AKR1C3	14.0	-0.0042124542124543085
KLF4	23.0	0.005402930402930384
KLF2	13.0	-0.0042124542124541975
VEGFA	4.0	0.005402930402930384
KLF8	15.0	-0.0042124542124543085
PER2	21.0	0.005402930402930384
HEYL	16.0	-0.0042124542124541975
PER1	18.0	0.005402930402930384
KLF7	16.0	-0.0042124542124541975
PER3	15.0	-0.0042124542124543085
