Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	14.0	-0.00830564784053156
TSKS	16.0	-0.00830564784053156
PIF1	10.0	-0.00830564784053156
CSRNP2	11.0	-0.00830564784053156
ITPRIP	22.0	0.015503875968992276
SERPINE2	2.0	0.015503875968992276
PPP1R10	12.0	-0.00830564784053156
CIB1	8.0	0.015503875968992276
IRS2	20.0	0.015503875968992276
FZD10	4.0	0.015503875968992276
TNF	11.0	-0.00830564784053156
STYXL1	14.0	-0.00830564784053156
SH3RF1	1.0	0.015503875968992276
AQP1	20.0	0.015503875968992276
SPRED2	10.0	-0.00830564784053156
RGS2	10.0	-0.00830564784053156
C5	16.0	-0.00830564784053156
PTTG1	5.0	0.015503875968992276
SH3BP5	5.0	0.015503875968992276
TIMP3	18.0	0.015503875968992276
A2M	22.0	0.015503875968992276
AOC3	1.0	0.015503875968992276
HEXIM2	14.0	-0.00830564784053156
CDKN2B	11.0	-0.00830564784053156
DUSP2	9.0	0.009551495016611344
MKKS	11.0	-0.00830564784053156
DUSP1	21.0	0.015503875968992276
CARD8	13.0	-0.00830564784053156
DHCR24	16.0	-0.00830564784053156
KLF4	23.0	0.015503875968992276
SLC39A14	15.0	-0.00830564784053156
DUSP6	9.0	0.009551495016611344
NLE1	13.0	-0.00830564784053156
VEGFA	4.0	0.015503875968992276
DNAJA1	12.0	-0.00830564784053156
DBNDD2	15.0	-0.00830564784053156
SH3BP5L	12.0	-0.00830564784053156
COL7A1	13.0	-0.00830564784053156
FETUB	15.0	-0.00830564784053156
CARD16	15.0	-0.00830564784053156
EPHA1	11.0	-0.00830564784053156
RECK	15.0	-0.00830564784053156
NAIP	13.0	-0.00830564784053156
