Item ID	Item value	Change in Kuiper test statistic when item removed
ORM1	6.0	6.489372122636117E-4
DOCK4	12.0	0.005730238025271783
BMPR2	-4.0	-0.018660005877167152
CD83	8.0	0.005730238025271783
SERPINE2	-3.0	-0.018660005877167152
TNFAIP6	18.0	0.005730238025271783
WWC1	12.0	0.005730238025271783
PCSK9	17.0	0.005730238025271783
ADM	-2.0	-0.018660005877167152
TNF	7.0	0.005730238025271783
C1QTNF3	16.0	0.005730238025271783
FLCN	6.0	6.489372122636117E-4
THBD	10.0	0.005730238025271783
RGS2	6.0	6.489372122636117E-4
DCANP1	6.0	6.489372122636117E-4
PLAU	3.0	-0.00646488392594774
ADAMTS1	9.0	0.005730238025271783
CTSK	-3.0	-0.018660005877167152
ADAMTS9	14.0	0.005730238025271783
CD34	19.0	0.005730238025271783
TP63	18.0	0.005730238025271783
CD33	9.0	0.005730238025271783
PDGFRA	13.0	0.005730238025271783
ARG2	10.0	0.005730238025271783
IL4R	4.0	-0.00646488392594774
IRAK3	20.0	0.005730238025271783
IL17RD	11.0	0.005730238025271783
TGFBR2	-2.0	-0.018660005877167152
CEACAM1	19.0	0.005730238025271783
NAV3	11.0	0.005730238025271783
IRF1	3.0	-0.00646488392594774
CRY1	-3.0	-0.018660005877167152
PGAM5	7.0	0.005730238025271783
EVL	11.0	0.005730238025271783
CARD16	11.0	0.005730238025271783
TCTA	8.0	0.005730238025271783
ZFPM2	16.0	0.005730238025271783
EZR	-3.0	-0.018660005877167152
CX3CR1	8.0	0.005730238025271783
HDAC5	8.0	0.005730238025271783
LRRC17	-4.0	-0.018660005877167152
ECSCR	-4.0	-0.018660005877167152
LRP4	0.0	-0.006464883925947684
ATP1A2	19.0	0.005730238025271783
ADRB2	12.0	0.005730238025271783
HMGCR	10.0	0.005730238025271783
NTN1	19.0	0.005730238025271783
FOXO1	-2.0	-0.018660005877167152
ARNTL	0.0	-0.006464883925947684
SOCS2	13.0	0.005730238025271783
RAI1	-2.0	-0.018660005877167152
EFNB3	4.0	-0.00646488392594774
APOM	2.0	-0.006464883925947684
ZNF706	10.0	0.005730238025271783
TSPAN8	11.0	0.005730238025271783
ALOX5	3.0	-0.00646488392594774
SLAMF8	10.0	0.005730238025271783
LDLR	10.0	0.005730238025271783
RAB11FIP3	9.0	0.005730238025271783
HES5	7.0	0.005730238025271783
JAM2	13.0	0.005730238025271783
CDKN2B	7.0	0.005730238025271783
TGFB1	3.0	-0.00646488392594774
ANGPT1	17.0	0.005730238025271783
CAV3	15.0	0.005730238025271783
IL37	10.0	0.005730238025271783
CARD8	9.0	0.005730238025271783
CYP51A1	14.0	0.005730238025271783
FN1	19.0	0.005730238025271783
SEMA4F	10.0	0.005730238025271783
KLF4	18.0	0.005730238025271783
KLF2	9.0	0.005730238025271783
KLF7	12.0	0.005730238025271783
ITCH	-3.0	-0.018660005877167152
RGCC	-3.0	-0.018660005877167152
CDK5	10.0	0.005730238025271783
TMEM98	15.0	0.005730238025271783
BCL6	18.0	0.005730238025271783
ID1	2.0	-0.006464883925947684
BCL3	3.0	-0.00646488392594774
GHRL	20.0	0.005730238025271783
ADA	10.0	0.005730238025271783
C1QC	-2.0	-0.018660005877167152
