Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	14.0	-0.004312668463611835
ZNF572	12.0	-0.004312668463611835
ZNF692	14.0	-0.004312668463611835
ZMYND8	14.0	-0.004312668463611835
TNF	11.0	-0.004312668463611835
FOXQ1	22.0	0.005211141060197655
GJA1	4.0	0.00521114106019771
SALL4	3.0	0.00521114106019771
MYB	4.0	0.00521114106019771
DPF3	20.0	0.005211141060197655
SOX7	3.0	0.00521114106019771
TLE2	17.0	0.005211141060197655
CTNNBIP1	3.0	0.00521114106019771
ARID5A	12.0	-0.004312668463611835
KCTD1	14.0	-0.004312668463611835
RFX3	23.0	0.005211141060197655
ARID5B	12.0	-0.004312668463611835
OVOL1	10.0	0.00521114106019771
HIC1	13.0	-0.004312668463611835
THAP1	12.0	-0.004312668463611835
SAP30	8.0	0.005211141060197766
MAF	1.0	0.005211141060197766
DDIT4	3.0	0.00521114106019771
RFX5	12.0	-0.004312668463611835
ERF	9.0	0.005211141060197766
ZNF559	12.0	-0.004312668463611835
TIMELESS	15.0	-0.004312668463611835
ZFPM2	20.0	0.005211141060197655
SRSF7	14.0	-0.004312668463611835
ATF3	12.0	-0.004312668463611835
PPID	12.0	-0.004312668463611835
L3MBTL1	13.0	-0.004312668463611835
ZNF550	11.0	-0.004312668463611835
PIF1	10.0	0.00521114106019771
RTEL1	15.0	-0.004312668463611835
TSHZ3	1.0	0.005211141060197766
NOTCH4	16.0	-0.004312668463611835
MEPCE	11.0	-0.004312668463611835
NEDD4L	15.0	-0.004312668463611835
PRDM11	14.0	-0.004312668463611835
NPAS1	15.0	-0.004312668463611835
ZBTB2	24.0	0.005211141060197655
ZNF706	14.0	-0.004312668463611835
ZNF425	13.0	-0.004312668463611835
TP53BP1	15.0	-0.004312668463611835
PPARGC1A	2.0	0.005211141060197766
MORC2	11.0	-0.004312668463611835
PPARGC1B	5.0	0.00521114106019771
ZNF540	11.0	-0.004312668463611835
HEXIM2	14.0	-0.004312668463611835
EGR1	8.0	0.005211141060197766
WNT10B	15.0	-0.004312668463611835
TGFB1	7.0	0.005211141060197766
ZBTB16	19.0	0.005211141060197655
BCDIN3D	11.0	-0.004312668463611835
NR1D2	13.0	-0.004312668463611835
FOXN3	2.0	0.005211141060197766
NR4A3	10.0	0.00521114106019771
BCL6	22.0	0.005211141060197655
ID1	7.0	0.005211141060197766
BCL3	8.0	0.005211141060197766
NOSTRIN	3.0	0.00521114106019771
NANOG	1.0	0.005211141060197766
HOXD8	22.0	0.005211141060197655
BMPR2	0.0	0.005211141060197766
OGG1	13.0	-0.004312668463611835
BRCA1	16.0	-0.004312668463611835
SDR16C5	13.0	-0.004312668463611835
FLCN	10.0	0.00521114106019771
ZNF404	14.0	-0.004312668463611835
ZNF248	12.0	-0.004312668463611835
LRRFIP1	1.0	0.005211141060197766
KLF12	16.0	-0.004312668463611835
DUSP1	21.0	0.005211141060197655
PPHLN1	14.0	-0.004312668463611835
CBFA2T3	14.0	-0.004312668463611835
ELF3	4.0	0.00521114106019771
CRY1	1.0	0.005211141060197766
IRF7	13.0	-0.004312668463611835
DCP2	12.0	-0.004312668463611835
HDAC5	13.0	-0.004312668463611835
ZBTB49	11.0	-0.004312668463611835
SATB2	16.0	-0.004312668463611835
NR1I3	16.0	-0.004312668463611835
CIART	15.0	-0.004312668463611835
ARNTL	4.0	0.00521114106019771
BCLAF1	24.0	0.005211141060197655
SLX4	12.0	-0.004312668463611835
RECQL5	14.0	-0.004312668463611835
NFIL3	2.0	0.005211141060197766
TBL1X	17.0	0.005211141060197655
TAF9B	17.0	0.005211141060197655
HES5	11.0	-0.004312668463611835
BEND5	2.0	0.005211141060197766
ATF7IP	17.0	0.005211141060197655
IL33	15.0	-0.004312668463611835
KLF4	23.0	0.005211141060197655
KLF2	13.0	-0.004312668463611835
VEGFA	4.0	0.00521114106019771
KLF8	15.0	-0.004312668463611835
PER2	21.0	0.005211141060197655
HEYL	16.0	-0.004312668463611835
PER1	18.0	0.005211141060197655
KLF7	16.0	-0.004312668463611835
RAD50	12.0	-0.004312668463611835
PER3	15.0	-0.004312668463611835
