Item ID	Item value	Change in Kuiper test statistic when item removed
SLC27A1	11.0	0.01141456582633038
CIB1	4.0	-0.01309523809523827
FBLN1	17.0	0.02857142857142847
IRS2	16.0	0.02857142857142847
CBLB	10.0	-8.403361344538895E-4
HMGCR	10.0	-8.403361344538895E-4
TNF	7.0	-8.403361344538895E-4
STYXL1	10.0	-8.403361344538895E-4
FLCN	6.0	-8.403361344538895E-4
SOCS3	4.0	-0.01309523809523827
RGS2	6.0	-8.403361344538895E-4
CHORDC1	7.0	-8.403361344538895E-4
SH3BP5	0.0	-0.03025210084033625
PMEPA1	0.0	-0.03025210084033625
BDKRB1	5.0	-8.403361344538895E-4
ZBED3	-2.0	-0.03025210084033625
HEXIM2	9.0	-8.403361344538895E-4
CDKN2B	7.0	-8.403361344538895E-4
TGFB1	3.0	-0.03025210084033625
ANGPT1	17.0	0.02857142857142847
CAV3	15.0	0.02857142857142847
DUSP1	17.0	0.02857142857142847
IGFBP3	17.0	0.02857142857142847
CAV1	11.0	0.01141456582633038
IRAK3	20.0	0.02857142857142847
CBFA2T3	10.0	-8.403361344538895E-4
DUSP6	5.0	-8.403361344538895E-4
DNAJA1	8.0	-8.403361344538895E-4
DBNDD2	10.0	-8.403361344538895E-4
CEACAM1	19.0	0.02857142857142847
SH3BP5L	8.0	-8.403361344538895E-4
DDIT4	-1.0	-0.03025210084033625
PKIG	-1.0	-0.03025210084033625
EPHA1	7.0	-8.403361344538895E-4
CALM1	0.0	-0.03025210084033625
