Item ID	Item value	Change in Kuiper test statistic when item removed
SERPINE2	1.0	0.005809979494189876
ITGB3	0.0	0.005809979494189876
CIB1	8.0	0.005809979494189876
CBLB	14.0	-0.007347915242652159
BRCA1	16.0	0.005809979494189876
TNF	11.0	-0.00734791524265227
SH3RF1	0.0	0.005809979494189876
AQP1	20.0	0.005809979494189876
SDR16C5	13.0	-0.00734791524265227
FLCN	10.0	0.005809979494189876
RBM4	13.0	-0.00734791524265227
RGS2	10.0	0.005809979494189876
PTTG1	5.0	0.005809979494189876
LAMP3	6.0	0.005809979494189876
CHORDC1	11.0	-0.00734791524265227
PMEPA1	4.0	0.005809979494189876
BDKRB1	9.0	0.005809979494189821
TIMP3	18.0	0.005809979494189876
PLEKHN1	15.0	-0.007347915242652159
DUSP1	21.0	0.005809979494189876
IGFBP3	21.0	0.005809979494189876
PRKCE	0.0	0.005809979494189876
SIRT4	13.0	-0.00734791524265227
IRAK3	24.0	0.005809979494189876
DUSP6	9.0	0.005809979494189821
NT5C3B	13.0	-0.00734791524265227
CEACAM1	23.0	0.005809979494189876
DDIT4	3.0	0.005809979494189876
CRY1	1.0	0.005809979494189876
ANOS1	15.0	-0.007347915242652159
FETUB	15.0	-0.007347915242652159
BIRC5	4.0	0.005809979494189876
CARD16	15.0	-0.007347915242652159
EPHA1	11.0	-0.00734791524265227
DCP2	11.0	-0.00734791524265227
NAIP	13.0	-0.00734791524265227
BIRC3	13.0	-0.00734791524265227
RTN2	14.0	-0.007347915242652159
KDM3A	4.0	0.005809979494189876
FBLN1	21.0	0.005809979494189876
HMGCR	14.0	-0.007347915242652159
STYXL1	14.0	-0.007347915242652159
EXOSC7	4.0	0.005809979494189876
SOCS3	8.0	0.005809979494189876
C5	15.0	-0.007347915242652159
SH3BP5	4.0	0.005809979494189876
LRIG2	2.0	0.005809979494189876
A2M	22.0	0.005809979494189876
LDLR	14.0	-0.007347915242652159
BANP	12.0	-0.00734791524265227
ZBED3	2.0	0.005809979494189876
ZNF540	11.0	-0.00734791524265227
HEXIM2	13.0	-0.00734791524265227
CDKN2B	11.0	-0.00734791524265227
TGFB1	7.0	0.005809979494189876
ANGPT1	21.0	0.005809979494189876
CAV3	19.0	0.005809979494189876
TNFSF14	10.0	0.005809979494189876
CARD8	13.0	-0.00734791524265227
CAV1	15.0	-0.007347915242652159
CYP51A1	18.0	0.005809979494189876
DHCR24	16.0	0.005809979494189876
KLF4	22.0	0.005809979494189876
NLE1	13.0	-0.00734791524265227
VEGFA	4.0	0.005809979494189876
DNAJA1	12.0	-0.00734791524265227
PER2	21.0	0.005809979494189876
DBNDD2	14.0	-0.007347915242652159
SH3BP5L	12.0	-0.00734791524265227
CDK5	14.0	-0.007347915242652159
TMEM98	19.0	0.005809979494189876
COL7A1	12.0	-0.00734791524265227
CAPRIN1	1.0	0.005809979494189876
PKIG	3.0	0.005809979494189876
CALM1	4.0	0.005809979494189876
RECK	15.0	-0.007347915242652159
HSPA1A	13.0	-0.00734791524265227
