Item ID	Item value	Change in Kuiper test statistic when item removed
ITPRIP	22.0	0.0049959049959049096
SERPINE2	2.0	0.004995904995904854
RASL11B	11.0	-0.00409500409500424
CIB1	8.0	0.004995904995904854
TNF	11.0	-0.00409500409500424
ARHGAP44	19.0	0.0049959049959049096
GJA1	4.0	0.004995904995904854
RGS2	10.0	-0.00409500409500424
SESN3	10.0	-0.00409500409500424
PLAU	8.0	0.004995904995904854
PDGFRA	17.0	0.001208026208026236
VPS18	20.0	0.0049959049959049096
TLE2	17.0	0.001208026208026236
IL4R	8.0	0.004995904995904854
IGFBP3	22.0	0.0049959049959049096
CTNNBIP1	3.0	0.004995904995904854
HIC1	13.0	-0.00409500409500424
MOSMO	11.0	-0.00409500409500424
DDIT4	3.0	0.004995904995904854
TYRO3	15.0	-0.00409500409500424
CARD16	15.0	-0.00409500409500424
ROR2	3.0	0.004995904995904854
PHLDB2	10.0	-0.00409500409500424
ATF3	12.0	-0.00409500409500424
RTEL1	15.0	-0.00409500409500424
FBLN1	21.0	0.0049959049959049096
ADRB2	16.0	-0.00409500409500424
APCDD1	1.0	0.004995904995904854
SOCS2	17.0	0.001208026208026236
C5	16.0	-0.00409500409500424
TSPAN8	16.0	-0.00409500409500424
SLAMF8	14.0	-0.004095004095004129
TP53BP1	15.0	-0.00409500409500424
A2M	22.0	0.0049959049959049096
EGR1	8.0	0.004995904995904854
TGFB1	7.0	0.004995904995904854
MPIG6B	14.0	-0.004095004095004129
HSPA5	2.0	0.004995904995904854
BDNF	2.0	0.004995904995904854
PYCR1	16.0	-0.00409500409500424
BFAR	11.0	-0.00409500409500424
NR1D2	13.0	-0.00409500409500424
ARHGAP25	10.0	-0.00409500409500424
ELL3	14.0	-0.004095004095004129
ZC3HC1	11.0	-0.00409500409500424
CXCL12	21.0	0.0049959049959049096
NR4A3	10.0	-0.00409500409500424
BCL6	22.0	0.0049959049959049096
BCL3	8.0	0.004995904995904854
CCDC22	13.0	-0.00409500409500424
ADA	14.0	-0.004095004095004129
INVS	17.0	0.001208026208026236
LMBR1L	11.0	-0.00409500409500424
TNFAIP6	23.0	0.0049959049959049096
PPP1R10	12.0	-0.00409500409500424
OGG1	13.0	-0.00409500409500424
TRADD	15.0	-0.00409500409500424
BRCA1	16.0	-0.00409500409500424
SH3RF1	1.0	0.004995904995904854
C1QTNF3	20.0	0.0049959049959049096
SPRED2	10.0	-0.00409500409500424
FLCN	10.0	-0.00409500409500424
THBD	15.0	-0.00409500409500424
ING2	2.0	0.004995904995904854
OPA1	3.0	0.004995904995904854
GPER1	1.0	0.004995904995904854
DACT2	2.0	0.004995904995904854
PMEPA1	4.0	0.004995904995904854
TIMP3	18.0	0.0049959049959049096
TNFAIP8L2	13.0	-0.00409500409500424
CD34	23.0	0.0049959049959049096
DUSP2	9.0	0.004995904995904854
ARG2	14.0	-0.004095004095004129
MKKS	11.0	-0.00409500409500424
DUSP1	21.0	0.0049959049959049096
PPP2R5B	12.0	-0.00409500409500424
IL17RD	15.0	-0.00409500409500424
ITFG2	14.0	-0.004095004095004129
DUSP6	9.0	0.004995904995904854
TGFBR2	2.0	0.004995904995904854
CRY1	1.0	0.004995904995904854
MET	13.0	-0.00409500409500424
PTGER4	11.0	-0.00409500409500424
LRP4	4.0	0.004995904995904854
ARNTL	4.0	0.004995904995904854
NKD2	16.0	-0.00409500409500424
RECQL5	14.0	-0.004095004095004129
CHRNA10	12.0	-0.00409500409500424
CCL2	12.0	-0.00409500409500424
SLIT3	21.0	0.0049959049959049096
LRIG2	2.0	0.004995904995904854
TAF9B	17.0	0.001208026208026236
LDLR	14.0	-0.004095004095004129
IL33	15.0	-0.00409500409500424
PLEKHA1	3.0	0.004995904995904854
EYA2	13.0	-0.00409500409500424
CARD8	13.0	-0.00409500409500424
SEMA4F	14.0	-0.004095004095004129
KLF4	23.0	0.0049959049959049096
NLE1	13.0	-0.00409500409500424
DHRS3	3.0	0.004995904995904854
SULF2	3.0	0.004995904995904854
DNAJA1	12.0	-0.00409500409500424
HEYL	16.0	-0.00409500409500424
PER1	18.0	0.0049959049959049096
KLF7	16.0	-0.00409500409500424
ITCH	2.0	0.004995904995904854
KIF26A	2.0	0.004995904995904854
CTH	12.0	-0.00409500409500424
GHRL	24.0	0.0049959049959049096
TEK	20.0	0.0049959049959049096
