Item ID	Item value	Change in Kuiper test statistic when item removed
CSF1R	8.0	0.015476190476190754
BMPR2	-4.0	-0.05952380952380942
BDNF	-2.0	-0.05952380952380942
SEMA4F	10.0	0.015476190476190754
LAMC2	0.0	-0.059523809523809534
NTN1	19.0	0.040476190476190554
IGSF9	8.0	0.015476190476190754
VEGFA	0.0	-0.059523809523809534
KLF7	12.0	0.015476190476190643
TTC8	-3.0	-0.05952380952380942
EFNB3	4.0	-0.00952380952380949
CXCL12	17.0	0.040476190476190554
CDK5	10.0	0.015476190476190754
FLRT2	9.0	0.015476190476190643
CHL1	16.0	0.023809523809523947
PALLD	-3.0	-0.05952380952380942
ANOS1	11.0	0.015476190476190643
SLIT3	17.0	0.040476190476190554
EPHA1	7.0	-0.0011904761904760752
EPHB1	-3.0	-0.05952380952380942
NECTIN1	0.0	-0.059523809523809534
