Item ID	Item value	Change in Kuiper test statistic when item removed
SLC35B3	12.0	-0.008385744234800818
OGG1	13.0	-0.008385744234800818
QPRT	15.0	-0.008385744234800818
MPI	11.0	-0.008385744234800818
ADK	3.0	0.010482180293501064
ENO2	5.0	0.010482180293501064
GIMAP7	21.0	0.010482180293501064
NUDT3	15.0	-0.008385744234800818
HK2	3.0	0.010482180293501064
NUDT4	4.0	0.010482180293501064
GMPPB	13.0	-0.008385744234800818
FLCN	10.0	0.010482180293501064
OPA1	2.0	0.010482180293501064
NMRK1	11.0	-0.008385744234800818
DPYSL3	3.0	0.010482180293501064
MACROD1	11.0	-0.008385744234800818
PDK4	17.0	0.010482180293501064
UPP1	7.0	0.010482180293501064
NUDT13	11.0	-0.008385744234800818
PGM1	6.0	0.010482180293501064
PDK1	3.0	0.010482180293501064
CDADC1	13.0	-0.008385744234800818
CAD	12.0	-0.008385744234800818
CTPS1	12.0	-0.008385744234800818
AMPD2	11.0	-0.008385744234800818
ELOVL6	19.0	0.010482180293501064
ACSL3	12.0	-0.008385744234800818
CBFA2T3	14.0	-0.008385744234800818
TPST2	13.0	-0.008385744234800818
NT5C3B	13.0	-0.008385744234800818
NME7	13.0	-0.008385744234800818
DDIT4	3.0	0.010482180293501064
NEIL1	13.0	-0.008385744234800818
GCDH	12.0	-0.008385744234800818
GALT	15.0	-0.008385744234800818
NNMT	21.0	0.010482180293501064
NPR2	17.0	0.010482180293501064
GMPR2	14.0	-0.008385744234800818
ADCY4	3.0	0.010482180293501064
GLRX	13.0	-0.008385744234800818
HMGCR	14.0	-0.008385744234800818
FUT8	15.0	-0.008385744234800818
LDHA	5.0	0.010482180293501064
GMDS	20.0	0.010482180293501064
UAP1L1	4.0	0.010482180293501064
PPARGC1A	2.0	0.010482180293501064
RRM2	11.0	-0.008385744234800818
TGFB1	7.0	0.010482180293501064
GFPT2	2.0	0.010482180293501064
DHODH	13.0	-0.008385744234800818
SMUG1	14.0	-0.008385744234800818
GPAM	12.0	-0.008385744234800818
ADA	14.0	-0.008385744234800818
PFKP	5.0	0.010482180293501064
