Item ID	Item value	Change in Kuiper test statistic when item removed
DPAGT1	9.0	0.004432624113475059
DHRS13	-1.0	-0.016843971631205767
MOXD1	1.0	-0.016843971631205767
ADH1C	19.0	0.02570921985815583
CPQ	19.0	0.02570921985815583
PTAFR	4.0	-0.016843971631205767
TYRP1	1.0	-0.016843971631205767
PCSK9	17.0	0.02570921985815583
HMGCR	10.0	0.004432624113474948
VLDLR	-1.0	-0.016843971631205767
HSD17B7	9.0	0.004432624113475059
CYP2C18	13.0	0.004432624113474948
TNF	7.0	-0.015957446808510856
NUDT3	11.0	0.004432624113474948
NUDT4	0.0	-0.016843971631205767
SEC14L2	-1.0	-0.016843971631205767
THTPA	10.0	0.004432624113474948
SDR16C5	9.0	0.004432624113475059
HSD11B2	-1.0	-0.016843971631205767
LIMA1	7.0	-0.015957446808510856
LDHA	1.0	-0.016843971631205767
SPR	9.0	0.004432624113475059
CTSK	-3.0	-0.016843971631205767
GPER1	-3.0	-0.016843971631205767
SPTSSB	11.0	0.004432624113474948
HMGCS2	13.0	0.004432624113474948
CRYM	0.0	-0.016843971631205767
LDLR	10.0	0.004432624113474948
DUOX2	0.0	-0.016843971631205767
APOL2	11.0	0.004432624113474948
EPHX2	13.0	0.004432624113474948
CYP51A1	14.0	0.02570921985815583
IPMK	-3.0	-0.016843971631205767
IDH2	2.0	-0.016843971631205767
SORD	18.0	0.02570921985815583
AKR1C3	10.0	0.004432624113474948
PLA2G4A	8.0	0.004432624113475059
SLC16A10	9.0	0.004432624113475059
DHCR24	12.0	0.004432624113475059
SNCAIP	-2.0	-0.016843971631205767
CYP39A1	8.0	0.004432624113475059
PER2	17.0	0.02570921985815583
CH25H	9.0	0.004432624113475059
MINPP1	11.0	0.004432624113474948
LRTOMT	8.0	0.004432624113475059
PLCB1	18.0	0.02570921985815583
CFTR	12.0	0.004432624113475059
ABCG1	0.0	-0.016843971631205767
