Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	14.0	-0.0034798534798534675
SLC35B3	12.0	-0.0034798534798534675
SLC27A1	15.0	-0.0034798534798534675
GALNT14	16.0	-2.7472527472538477E-4
GALNT18	3.0	0.006135531135531114
ZDHHC7	11.0	-0.0034798534798534675
SAT1	12.0	-0.0034798534798534675
TNF	11.0	-0.0034798534798534675
GLS	24.0	0.006135531135531114
RGS2	10.0	-2.7472527472532926E-4
PDK4	17.0	0.006135531135531114
PSPH	14.0	-0.0034798534798534675
PDK1	3.0	0.006135531135531114
GAMT	11.0	-0.0034798534798534675
ST6GAL1	13.0	-0.0034798534798534675
ALG8	14.0	-0.0034798534798534675
ALG2	10.0	-2.7472527472532926E-4
ACSL3	12.0	-0.0034798534798534675
GCDH	12.0	-0.0034798534798534675
NNMT	21.0	0.006135531135531114
AARS2	14.0	-0.0034798534798534675
ABCB6	14.0	-0.0034798534798534675
ABHD3	14.0	-0.0034798534798534675
NPR2	17.0	0.006135531135531114
FUT11	2.0	0.006135531135531114
ASMT	2.0	0.006135531135531114
TMTC1	16.0	-2.7472527472538477E-4
FUT2	13.0	-0.0034798534798534675
FUT3	5.0	0.006135531135531114
FUT8	15.0	-0.0034798534798534675
ZNF706	14.0	-0.0034798534798534675
DPH2	12.0	-0.0034798534798534675
ST3GAL4	1.0	0.006135531135531114
DPH5	14.0	-0.0034798534798534675
TMEM14EP	9.0	0.006135531135531114
PPARGC1A	2.0	0.006135531135531114
ST3GAL2	10.0	-2.7472527472532926E-4
ZNF540	11.0	-0.0034798534798534675
EIF2B4	11.0	-0.0034798534798534675
CHKB	14.0	-0.0034798534798534675
TGFB1	7.0	0.006135531135531114
CHKA	13.0	-0.0034798534798534675
GFPT2	2.0	0.006135531135531114
PYCR1	16.0	-2.7472527472538477E-4
SLC6A9	5.0	0.006135531135531114
ATG16L2	13.0	-0.0034798534798534675
CAPRIN1	1.0	0.006135531135531114
UST	16.0	-2.7472527472538477E-4
BCL3	7.0	0.006135531135531114
ADA	14.0	-0.0034798534798534675
BMPR2	0.0	0.006135531135531114
SLC25A2	22.0	0.006135531135531114
PIGO	13.0	-0.0034798534798534675
MRPS14	15.0	-0.0034798534798534675
QPRT	15.0	-0.0034798534798534675
PIGP	14.0	-0.0034798534798534675
ADK	3.0	0.006135531135531114
MTR	2.0	0.006135531135531114
PIGV	13.0	-0.0034798534798534675
HS2ST1	4.0	0.006135531135531114
GMPPB	13.0	-0.0034798534798534675
FLCN	10.0	-2.7472527472532926E-4
RBM4	13.0	-0.0034798534798534675
NMRK1	11.0	-0.0034798534798534675
UPP1	7.0	0.006135531135531114
GAL3ST4	15.0	-0.0034798534798534675
CERS4	12.0	-0.0034798534798534675
ARG2	14.0	-0.0034798534798534675
NSUN5	13.0	-0.0034798534798534675
ABCC5	13.0	-0.0034798534798534675
CAD	12.0	-0.0034798534798534675
PLA2G4A	12.0	-0.0034798534798534675
CTPS1	12.0	-0.0034798534798534675
AMPD2	11.0	-0.0034798534798534675
ELOVL6	19.0	0.006135531135531114
TRNAU1AP	13.0	-0.0034798534798534675
ZDHHC11	4.0	0.006135531135531114
ZDHHC16	13.0	-0.0034798534798534675
ZDHHC14	17.0	0.006135531135531114
NT5C3B	13.0	-0.0034798534798534675
NME7	13.0	-0.0034798534798534675
RPUSD3	11.0	-0.0034798534798534675
B3GNT4	9.0	0.006135531135531114
B3GNT3	5.0	0.006135531135531114
PIGF	14.0	-0.0034798534798534675
DCP2	11.0	-0.0034798534798534675
PAOX	14.0	-0.0034798534798534675
CHST3	5.0	0.006135531135531114
PPM1L	1.0	0.006135531135531114
SRBD1	16.0	-2.7472527472538477E-4
PTAFR	8.0	0.006135531135531114
ADCY4	3.0	0.006135531135531114
ZDHHC23	14.0	-0.0034798534798534675
RBM4B	12.0	-0.0034798534798534675
EXOSC7	4.0	0.006135531135531114
HAS3	10.0	-2.7472527472532926E-4
IL33	15.0	-0.0034798534798534675
KLF4	22.0	0.006135531135531114
HS3ST1	6.0	0.006135531135531114
DHODH	13.0	-0.0034798534798534675
PER2	21.0	0.006135531135531114
PER1	17.0	0.006135531135531114
MGAT4A	3.0	0.006135531135531114
CTH	12.0	-0.0034798534798534675
PNPLA1	15.0	-0.0034798534798534675
