Item ID	Item value	Change in Kuiper test statistic when item removed
SLC35B3	12.0	-0.007729468599033729
GCDH	12.0	-0.007729468599033729
SLC27A1	15.0	-0.007729468599033729
NNMT	21.0	0.014492753623188526
PIGO	13.0	-0.007729468599033729
ABHD3	14.0	-0.007729468599033618
NPR2	17.0	-0.007729468599033729
QPRT	15.0	-0.007729468599033729
PIGP	14.0	-0.007729468599033618
PTAFR	8.0	0.01449275362318847
ADK	3.0	0.01449275362318847
ADCY4	3.0	0.01449275362318847
CWH43	14.0	-0.007729468599033618
PIGV	13.0	-0.007729468599033729
AGPAT4	1.0	0.01449275362318847
SOCS2	17.0	-0.007729468599033729
FLCN	10.0	0.01449275362318847
SOCS3	8.0	0.01449275362318847
GPER1	1.0	0.01449275362318847
NMRK1	11.0	-0.007729468599033729
PDK4	17.0	-0.007729468599033729
HMGCS2	17.0	-0.007729468599033729
UPP1	7.0	0.01449275362318847
PPARGC1A	2.0	0.01449275362318847
XYLB	15.0	-0.007729468599033729
PDK1	3.0	0.01449275362318847
CHKB	14.0	-0.007729468599033618
RRM2	11.0	-0.007729468599033729
TGFB1	7.0	0.01449275362318847
CHKA	13.0	-0.007729468599033729
CKM	16.0	-0.007729468599033729
IPMK	1.0	0.01449275362318847
CAD	12.0	-0.007729468599033729
TTC7B	19.0	0.014492753623188526
PLA2G4A	12.0	-0.007729468599033729
CTPS1	12.0	-0.007729468599033729
AMPD2	11.0	-0.007729468599033729
ELOVL6	19.0	0.014492753623188526
ACSL3	12.0	-0.007729468599033729
DHODH	13.0	-0.007729468599033729
GPAM	12.0	-0.007729468599033729
NMNAT1	11.0	-0.007729468599033729
NME7	13.0	-0.007729468599033729
PIGF	14.0	-0.007729468599033618
ADA	14.0	-0.007729468599033618
CDS2	2.0	0.01449275362318847
