Item ID	Item value	Change in Kuiper test statistic when item removed
ERO1A	3.0	0.005747126436781602
BCAR3	2.0	0.005747126436781602
TFRC	7.0	0.005747126436781658
ITGB3	0.0	0.005747126436781602
ZDHHC7	11.0	-0.0058807805399624935
CBLB	14.0	-0.0058807805399626045
BRCA1	16.0	0.005747126436781602
TNF	11.0	-0.0058807805399624935
SDR16C5	13.0	-0.0058807805399626045
FLCN	10.0	0.005747126436781658
CSKMT	12.0	-0.0058807805399626045
MYB	4.0	0.005747126436781602
NEK1	14.0	-0.0058807805399626045
CD36	21.0	0.005747126436781602
EPHB1	1.0	0.005747126436781602
PDGFRA	17.0	0.005747126436781602
HSP90AA1	17.0	0.005747126436781602
ST6GAL1	13.0	-0.0058807805399626045
ALG8	14.0	-0.0058807805399626045
DESI1	15.0	9.02165196471516E-4
SYK	12.0	-0.0058807805399626045
PRKCE	0.0	0.005747126436781602
CAD	12.0	-0.0058807805399626045
ARID5A	12.0	-0.0058807805399626045
PPP2R5B	12.0	-0.0058807805399626045
SETMAR	13.0	-0.0058807805399626045
ZDHHC11	4.0	0.005747126436781602
VRK3	12.0	-0.0058807805399626045
PRLR	5.0	0.005747126436781602
ZDHHC14	17.0	0.005747126436781602
TGFBR2	2.0	0.005747126436781602
TPST2	13.0	-0.0058807805399626045
DDIT4	3.0	0.005747126436781602
TYRO3	15.0	9.02165196471516E-4
ROR1	20.0	0.005747126436781602
EPHA1	11.0	-0.0058807805399624935
MET	13.0	-0.0058807805399626045
S100A9	5.0	0.005747126436781602
PPID	12.0	-0.0058807805399626045
STX1A	12.0	-0.0058807805399626045
FKBP5	20.0	0.005747126436781602
HDAC5	12.0	-0.0058807805399626045
CSF1R	12.0	-0.0058807805399626045
LIPT1	12.0	-0.0058807805399626045
KDM3A	4.0	0.005747126436781602
NNMT	21.0	0.005747126436781602
PKDCC	14.0	-0.0058807805399626045
ZDHHC23	14.0	-0.0058807805399626045
LRP4	4.0	0.005747126436781602
MST1R	11.0	-0.0058807805399624935
METTL21A	12.0	-0.0058807805399626045
AURKA	9.0	0.005747126436781602
NTF4	14.0	-0.0058807805399626045
HPX	24.0	0.005747126436781602
FUT8	15.0	9.02165196471516E-4
ERBB4	23.0	0.005747126436781602
CLEC7A	1.0	0.005747126436781602
DPH2	12.0	-0.0058807805399626045
SH3BP5	4.0	0.005747126436781602
DPH5	14.0	-0.0058807805399626045
BRD8	12.0	-0.0058807805399626045
PPARGC1A	2.0	0.005747126436781602
STOX1	3.0	0.005747126436781602
HES5	11.0	-0.0058807805399624935
BRD4	24.0	0.005747126436781602
EGR1	8.0	0.005747126436781602
METAP1D	17.0	0.005747126436781602
EGLN2	10.0	0.005747126436781658
TGFB1	7.0	0.005747126436781658
AUTS2	2.0	0.005747126436781602
NFYA	12.0	-0.0058807805399626045
NFYB	12.0	-0.0058807805399626045
BDNF	2.0	0.005747126436781602
CAV1	15.0	9.02165196471516E-4
VEGFA	4.0	0.005747126436781602
PER1	17.0	0.005747126436781602
BST1	5.0	0.005747126436781602
SH3BP5L	12.0	-0.0058807805399626045
FES	12.0	-0.0058807805399626045
CTH	12.0	-0.0058807805399626045
NDUFAF5	0.0	0.005747126436781602
MAP3K10	14.0	-0.0058807805399626045
GHRL	24.0	0.005747126436781602
ZNF335	12.0	-0.0058807805399626045
CALM1	4.0	0.005747126436781602
MAP3K13	4.0	0.005747126436781602
EEF1AKMT1	14.0	-0.0058807805399626045
