Item ID	Item value	Change in Kuiper test statistic when item removed
BCAR3	-2.0	-0.0023809523809524835
HSP90AA1	13.0	0.04761904761904767
TGFB1	3.0	-0.0023809523809523725
ANGPT1	17.0	0.04761904761904767
SYK	8.0	-0.0023809523809522615
TFRC	3.0	-0.0023809523809523725
BDNF	-2.0	-0.0023809523809524835
PRKCE	-4.0	-0.05238095238095253
CAV1	11.0	0.03928571428571426
VRK3	8.0	-0.0023809523809522615
TNF	7.0	-0.0023809523809523725
AURKA	5.0	-0.0023809523809523725
TGFBR2	-2.0	-0.0023809523809524835
VEGFA	0.0	-0.0023809523809522615
CLK1	4.0	-0.0023809523809523725
NTF4	10.0	-0.0023809523809523725
CDK5	10.0	-0.0023809523809523725
DDIT4	-1.0	-0.0023809523809524835
MAP3K10	10.0	-0.0023809523809523725
MAP3K13	0.0	-0.0023809523809522615
STOX1	-1.0	-0.0023809523809524835
