Item ID	Item value	Change in Kuiper test statistic when item removed
CSF1R	8.0	0.004504504504504403
PKDCC	10.0	0.004504504504504403
ITGB3	-4.0	-0.023273273273273165
LRP4	0.0	-0.023273273273273165
CBLB	10.0	0.004504504504504403
MST1R	7.0	0.004504504504504403
TNF	7.0	0.004504504504504403
HPX	20.0	0.03228228228228219
SOCS3	4.0	-0.02327327327327333
ERBB4	19.0	0.03228228228228219
CLEC7A	-3.0	-0.023273273273273165
SH3BP5	0.0	-0.023273273273273165
NEK1	10.0	0.004504504504504403
CD36	17.0	0.03228228228228219
EPHB1	-3.0	-0.023273273273273165
HES5	7.0	0.004504504504504403
PDGFRA	13.0	0.03228228228228219
TGFB1	3.0	-0.02327327327327333
ANGPT1	17.0	0.03228228228228219
SYK	8.0	0.004504504504504403
PRKCE	-4.0	-0.023273273273273165
CAV1	11.0	0.018393393393393243
PPP2R5B	8.0	0.004504504504504403
PRLR	1.0	-0.023273273273273165
CLK4	6.0	-0.023273273273273387
VEGFA	0.0	-0.023273273273273165
CLK1	4.0	-0.02327327327327333
TPST2	9.0	0.004504504504504403
BST1	1.0	-0.023273273273273165
KITLG	9.0	0.004504504504504403
SH3BP5L	8.0	0.004504504504504403
FES	8.0	0.004504504504504403
TYRO3	11.0	0.018393393393393243
ROR1	16.0	0.03228228228228219
GHRL	20.0	0.03228228228228219
EPHA1	7.0	0.004504504504504403
MET	9.0	0.004504504504504403
