Item ID	Item value	Change in Kuiper test statistic when item removed
CSF1R	12.0	-0.01666666666666672
SLC27A1	15.0	0.025000000000000022
PIGO	13.0	-0.016666666666666607
ABHD3	14.0	-0.016666666666666607
PIGP	14.0	-0.016666666666666607
MTMR8	13.0	-0.016666666666666607
PCSK9	21.0	0.025000000000000022
CWH43	14.0	-0.016666666666666607
PIGV	13.0	-0.016666666666666607
AGPAT4	1.0	0.02499999999999991
SOCS2	17.0	0.025000000000000022
SOCS3	8.0	0.02499999999999991
HMGCS2	17.0	0.025000000000000022
LDLR	14.0	-0.016666666666666607
PLA2G4F	13.0	-0.016666666666666607
CHKB	14.0	-0.016666666666666607
CHKA	13.0	-0.016666666666666607
IPMK	1.0	0.02499999999999991
TTC7B	19.0	0.025000000000000022
PLA2G4A	12.0	-0.01666666666666672
ACSL3	12.0	-0.01666666666666672
GPAM	12.0	-0.01666666666666672
PLCB1	22.0	0.025000000000000022
PIGF	14.0	-0.016666666666666607
CDS2	2.0	0.02499999999999991
