Item ID	Item value	Change in Kuiper test statistic when item removed
TFRC	3.0	-0.019163763066201767
AVIL	6.0	0.005226480836237002
AMIGO2	-2.0	-0.019163763066202044
TNF	7.0	0.005226480836237002
BCL2L11	8.0	0.005226480836237002
SLX4	8.0	0.005226480836237002
FLRT2	9.0	0.005226480836237113
CLEC7A	-3.0	-0.019163763066202044
DPYSL3	-1.0	-0.019163763066202044
HAS3	6.0	0.005226480836237002
CD36	17.0	0.029616724738676048
EPHB1	-3.0	-0.019163763066202044
MORC2	7.0	0.005226480836237002
TAPT1	7.0	0.005226480836237002
ATF7IP	12.0	0.02250290360046464
CARMIL1	1.0	-0.019163763066202044
HSP90AA1	13.0	0.029616724738676048
TGFB1	3.0	-0.019163763066201767
AUTS2	-2.0	-0.019163763066202044
SYK	8.0	0.005226480836237002
CAV3	15.0	0.029616724738676048
BDNF	-2.0	-0.019163763066202044
PRKCE	-4.0	-0.019163763066202044
IRX3	11.0	0.005226480836237113
CAV1	11.0	0.005226480836237113
PPP2R5B	8.0	0.005226480836237002
PPHLN1	10.0	0.005226480836237002
VEGFA	0.0	-0.019163763066202044
DNM3	15.0	0.029616724738676048
TPPP3	-2.0	-0.019163763066202044
RGCC	-3.0	-0.019163763066202044
NAV3	11.0	0.005226480836237113
FES	8.0	0.005226480836237002
CENPJ	8.0	0.005226480836237002
ID1	2.0	-0.019163763066202044
EVL	11.0	0.005226480836237113
GHRL	20.0	0.029616724738676048
EPHA1	7.0	0.005226480836237002
MET	9.0	0.005226480836237113
PHLDB2	6.0	0.005226480836237002
CCL26	12.0	0.02250290360046464
HSPA1A	9.0	0.005226480836237113
