Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	16.0	0.03326612903225795
CD83	8.0	0.001008064516128948
TFRC	3.0	-0.008400537634408678
PTAFR	4.0	0.001008064516128948
IRS2	16.0	0.03326612903225795
TNF	7.0	0.001008064516128948
HSPD1	9.0	0.001008064516128837
IL1RL2	9.0	0.001008064516128837
HSPH1	9.0	0.001008064516128837
EFNB3	4.0	0.001008064516128948
CLEC7A	-3.0	-0.03125000000000011
MYB	0.0	-0.03125000000000011
CCL2	8.0	0.001008064516128948
TP53BP1	11.0	0.001008064516128948
IL33	11.0	0.001008064516128948
IL4R	4.0	0.001008064516128948
TGFB1	3.0	-0.008400537634408678
SYK	8.0	0.001008064516128948
ATAD5	-4.0	-0.03125000000000011
TNFSF14	6.0	0.001008064516128948
ZBTB16	15.0	0.03326612903225795
CAV1	11.0	0.001008064516128948
PLA2G4A	8.0	0.001008064516128948
SLC39A10	11.0	0.001008064516128948
TGFBR2	-2.0	-0.03125000000000011
BST1	1.0	-0.03125000000000011
NR4A3	6.0	0.001008064516128948
GPAM	8.0	0.001008064516128948
BCL6	18.0	0.03326612903225795
IGLL1	11.0	0.001008064516128948
ZNF335	8.0	0.001008064516128948
ADA	10.0	0.001008064516128948
