Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	20.0	0.004914004914004788
SLC27A1	15.0	-0.00417690417690425
TFRC	7.0	0.004914004914004844
CIB1	8.0	0.004914004914004844
FZD10	3.0	0.004914004914004844
TNF	11.0	-0.00417690417690425
EPHB1	1.0	0.004914004914004844
SOX7	3.0	0.004914004914004844
PDGFRA	17.0	0.004914004914004788
LMO4	11.0	-0.00417690417690425
SETMAR	13.0	-0.00417690417690425
ARID5B	12.0	-0.00417690417690425
VRK3	12.0	-0.00417690417690425
PRLR	5.0	0.004914004914004844
CDC25B	10.0	-0.00417690417690425
MOB3C	10.0	-0.00417690417690425
AR	14.0	-0.00417690417690425
TYRO3	15.0	-0.00417690417690425
ROR1	20.0	0.004914004914004788
CARD16	15.0	-0.00417690417690425
EPHA1	11.0	-0.00417690417690425
S100A9	5.0	0.004914004914004844
CFTR	16.0	-0.004176904176904361
NGEF	5.0	0.004914004914004844
CSF1R	12.0	-0.00417690417690425
FBLN1	21.0	0.004914004914004788
ADRB2	16.0	-0.004176904176904361
MST1R	11.0	-0.00417690417690425
CCNB1	10.0	-0.00417690417690425
BCL2L11	12.0	-0.00417690417690425
CHTF8	12.0	-0.00417690417690425
ADAP2	16.0	-0.004176904176904361
CLEC7A	1.0	0.004914004914004844
TP53BP1	15.0	-0.00417690417690425
PPARGC1A	2.0	0.004914004914004844
PPARGC1B	5.0	0.004914004914004844
EGR1	8.0	0.004914004914004844
FZD2	1.0	0.004914004914004844
TGFB1	7.0	0.004914004914004844
FZD5	4.0	0.004914004914004844
BDNF	2.0	0.004914004914004844
CAV1	15.0	-0.00417690417690425
FN1	23.0	0.004914004914004788
PILRB	13.0	-0.00417690417690425
TRAPPC9	24.0	0.004914004914004788
ARHGAP25	10.0	-0.00417690417690425
CRNN	18.0	0.004914004914004788
TBCK	15.0	-0.00417690417690425
RGCC	1.0	0.004914004914004844
CDK5	14.0	-0.00417690417690425
SLC6A9	5.0	0.004914004914004844
MAP3K10	14.0	-0.00417690417690425
NMUR1	24.0	0.004914004914004788
CALM1	4.0	0.004914004914004844
MAP3K13	4.0	0.004914004914004844
BCAR3	2.0	0.004914004914004844
BMPR2	0.0	0.004914004914004844
DIRAS1	15.0	-0.00417690417690425
ITGB3	0.0	0.004914004914004844
TRADD	15.0	-0.00417690417690425
VLDLR	3.0	0.004914004914004844
BBC3	8.0	0.004914004914004844
CASP9	14.0	-0.00417690417690425
FLCN	10.0	-0.00417690417690425
EPM2AIP1	11.0	-0.00417690417690425
CASP5	14.0	-0.00417690417690425
TRIM5	14.0	-0.00417690417690425
GPER1	1.0	0.004914004914004844
CASP4	14.0	-0.00417690417690425
TRIM68	12.0	-0.00417690417690425
CASP1	17.0	0.004914004914004788
CD36	21.0	0.004914004914004788
CD33	13.0	-0.00417690417690425
GARNL3	18.0	0.004914004914004788
HSP90AA1	17.0	0.004914004914004788
RIPK3	12.0	-0.00417690417690425
SYK	12.0	-0.00417690417690425
ARHGEF16	12.0	-0.00417690417690425
PPP2R5B	12.0	-0.00417690417690425
SLC39A10	15.0	-0.00417690417690425
IRAK3	24.0	0.004914004914004788
TRAF1	15.0	-0.00417690417690425
NIPSNAP2	2.0	0.004914004914004844
TGFBR2	2.0	0.004914004914004844
TBC1D1	16.0	-0.004176904176904361
TRAF4	10.0	-0.00417690417690425
CKS2	11.0	-0.00417690417690425
FAM20A	7.0	0.004914004914004844
MET	13.0	-0.00417690417690425
GPRC5C	6.0	0.004914004914004844
CX3CR1	12.0	-0.00417690417690425
HDAC5	12.0	-0.00417690417690425
PTAFR	8.0	0.004914004914004844
GLRX	13.0	-0.00417690417690425
FGD2	24.0	0.004914004914004788
HSPD1	13.0	-0.00417690417690425
ERBB4	23.0	0.004914004914004788
CCL2	12.0	-0.00417690417690425
STOX1	3.0	0.004914004914004844
GINS2	16.0	-0.004176904176904361
ANGPT1	21.0	0.004914004914004788
CARD8	13.0	-0.00417690417690425
KLF4	22.0	0.004914004914004788
VEGFA	4.0	0.004914004914004844
RAD50	12.0	-0.00417690417690425
KITLG	13.0	-0.00417690417690425
CTH	12.0	-0.00417690417690425
PDCD2	15.0	-0.00417690417690425
GHRL	24.0	0.004914004914004788
CCL26	16.0	-0.004176904176904361
HSPA1A	13.0	-0.00417690417690425
