Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	20.0	0.004357298474945537
TFRC	7.0	0.004357298474945592
MAML2	21.0	0.004357298474945537
GABPB1	14.0	-0.0030501089324618813
TNF	11.0	-0.0030501089324617703
SALL4	3.0	0.004357298474945648
MYB	4.0	0.004357298474945592
FBXO4	2.0	0.004357298474945648
DPF3	20.0	0.004357298474945537
PKNOX1	13.0	-0.0030501089324618813
JUNB	9.0	0.004357298474945648
SOX7	3.0	0.004357298474945648
ZNF287	11.0	-0.0030501089324617703
LMO4	11.0	-0.0030501089324617703
ARID5A	12.0	-0.0030501089324617703
RFX2	0.0	0.004357298474945648
RFX3	23.0	0.004357298474945537
SETMAR	13.0	-0.0030501089324618813
WDR75	1.0	0.004357298474945648
ARID5B	12.0	-0.0030501089324617703
WDR77	13.0	-0.0030501089324618813
AR	14.0	-0.0030501089324618813
MAF	0.0	0.004357298474945648
RFX5	12.0	-0.0030501089324617703
ZNF438	13.0	-0.0030501089324618813
TIMELESS	15.0	-0.0030501089324618813
DXO	12.0	-0.0030501089324617703
ZFPM2	20.0	0.004357298474945537
ATF3	12.0	-0.0030501089324617703
RTEL1	15.0	-0.0030501089324618813
ZNF395	2.0	0.004357298474945648
AKNA	15.0	-0.0030501089324618813
NOTCH4	16.0	-0.0030501089324618813
MEPCE	10.0	0.0015795206971678244
ADRB2	16.0	-0.0030501089324618813
PRDM11	14.0	-0.0030501089324618813
HNRNPLL	10.0	0.0015795206971678244
PRDM10	17.0	0.004357298474945537
NPAS2	5.0	0.004357298474945592
SEC14L2	3.0	0.004357298474945648
RAI1	2.0	0.004357298474945648
CHTF8	12.0	-0.0030501089324617703
CAMTA1	14.0	-0.0030501089324618813
CAMTA2	12.0	-0.0030501089324617703
TP53BP1	15.0	-0.0030501089324618813
PPARGC1A	2.0	0.004357298474945648
PPARGC1B	5.0	0.004357298474945592
ZBED3	2.0	0.004357298474945648
EGR1	8.0	0.004357298474945648
NFE2	13.0	-0.0030501089324618813
ZNF143	14.0	-0.0030501089324618813
FZD2	1.0	0.004357298474945648
TGFB1	7.0	0.004357298474945592
AUTS2	2.0	0.004357298474945648
HSPA5	1.0	0.004357298474945648
FZD5	4.0	0.004357298474945592
ZBTB16	19.0	0.004357298474945537
ELL3	14.0	-0.0030501089324618813
RGCC	1.0	0.004357298474945648
TFCP2	15.0	-0.0030501089324618813
NR4A3	10.0	0.0015795206971678244
ZFAT	16.0	-0.0030501089324618813
RFXAP	11.0	-0.0030501089324617703
BCL3	7.0	0.004357298474945592
NANOG	1.0	0.004357298474945648
HOXD8	21.0	0.004357298474945537
CSRNP2	11.0	-0.0030501089324617703
BMPR2	0.0	0.004357298474945648
PPP1R10	12.0	-0.0030501089324617703
BRCA1	16.0	-0.0030501089324618813
MED16	13.0	-0.0030501089324618813
FLCN	10.0	0.0015795206971678244
ZCWPW1	14.0	-0.0030501089324618813
ING2	2.0	0.004357298474945648
DBP	13.0	-0.0030501089324618813
TRIM5	14.0	-0.0030501089324618813
GPER1	1.0	0.004357298474945648
UBTF	1.0	0.004357298474945648
ZNF485	13.0	-0.0030501089324618813
RBM14	14.0	-0.0030501089324618813
KLF12	16.0	-0.0030501089324618813
HSP90AA1	17.0	0.004357298474945537
RIPK3	12.0	-0.0030501089324617703
PPP2R5B	12.0	-0.0030501089324617703
NT5C3B	13.0	-0.0030501089324618813
ELF3	4.0	0.004357298474945592
IRF7	12.0	-0.0030501089324617703
ZNF513	12.0	-0.0030501089324617703
MET	13.0	-0.0030501089324618813
DCP2	11.0	-0.0030501089324617703
HDAC5	12.0	-0.0030501089324617703
ZNF594	12.0	-0.0030501089324617703
KDM3A	4.0	0.004357298474945592
RNASEL	13.0	-0.0030501089324618813
SATB2	16.0	-0.0030501089324618813
NR1I3	16.0	-0.0030501089324618813
ARNTL	4.0	0.004357298474945592
EXOSC7	4.0	0.004357298474945592
PSMC3IP	14.0	-0.0030501089324618813
RXRB	11.0	-0.0030501089324617703
BCLAF1	23.0	0.004357298474945537
SLX4	12.0	-0.0030501089324617703
ABLIM3	19.0	0.004357298474945537
SERTAD1	11.0	-0.0030501089324617703
NFIL3	1.0	0.004357298474945648
ERBB4	23.0	0.004357298474945537
HAS3	10.0	0.0015795206971678244
BRD8	12.0	-0.0030501089324617703
TBL1X	16.0	-0.0030501089324618813
SF3B1	1.0	0.004357298474945648
STOX1	3.0	0.004357298474945648
CCT5	10.0	0.0015795206971678244
HES5	11.0	-0.0030501089324617703
BRD4	24.0	0.004357298474945537
ATF7IP	16.0	-0.0030501089324618813
TBX1	3.0	0.004357298474945648
GINS2	16.0	-0.0030501089324618813
IL33	15.0	-0.0030501089324618813
NFYA	12.0	-0.0030501089324617703
ATAD5	0.0	0.004357298474945648
EYA2	12.0	-0.0030501089324617703
LUM	22.0	0.004357298474945537
NFYB	12.0	-0.0030501089324617703
IRX3	15.0	-0.0030501089324618813
KLF4	22.0	0.004357298474945537
KLF2	13.0	-0.0030501089324618813
VEGFA	4.0	0.004357298474945592
PER2	21.0	0.004357298474945537
HEYL	15.0	-0.0030501089324618813
PER1	17.0	0.004357298474945537
KLF7	16.0	-0.0030501089324618813
RAD50	12.0	-0.0030501089324617703
TEF	15.0	-0.0030501089324618813
CENPJ	12.0	-0.0030501089324617703
ZNF335	12.0	-0.0030501089324617703
HSPA1A	13.0	-0.0030501089324618813
