Item ID	Item value	Change in Kuiper test statistic when item removed
RTEL1	15.0	-0.011764705882352955
PPP1R10	12.0	-0.011764705882352955
ADRB2	16.0	-0.011764705882352955
TNF	11.0	-0.011764705882352955
BBC3	8.0	0.017647058823529405
AURKA	9.0	0.017647058823529405
BCL2L11	12.0	-0.011764705882352955
SLX4	12.0	-0.011764705882352955
GPER1	1.0	0.017647058823529405
FBXO4	2.0	0.017647058823529405
PPARGC1A	2.0	0.017647058823529405
MORC2	11.0	-0.011764705882352955
TAPT1	11.0	-0.011764705882352955
CCT5	10.0	0.017647058823529405
ATF7IP	16.0	-0.011764705882352955
CARMIL1	5.0	0.017647058823529405
CAV3	19.0	0.017647058823529405
PRKCE	0.0	0.017647058823529405
PPHLN1	14.0	-0.011764705882352955
RAD50	12.0	-0.011764705882352955
RGCC	1.0	0.017647058823529405
CDK5	14.0	-0.011764705882352955
NAV3	15.0	-0.011764705882352955
FES	12.0	-0.011764705882352955
CENPJ	12.0	-0.011764705882352955
TRPV4	5.0	0.017647058823529405
ID1	6.0	0.017647058823529405
PGAM5	11.0	-0.011764705882352955
EVL	15.0	-0.011764705882352955
EPHA1	11.0	-0.011764705882352955
PLCB1	22.0	0.017647058823529405
SLC25A4	3.0	0.017647058823529405
MET	13.0	-0.011764705882352955
CCL26	16.0	-0.011764705882352955
HSPA1A	13.0	-0.011764705882352955
