Item ID	Item value	Change in Kuiper test statistic when item removed
MYOM1	13.0	0.017543859649122417
TFRC	3.0	-0.008771929824561764
TNFAIP6	18.0	0.017543859649122306
MEPCE	6.0	-0.008771929824561764
LRP4	0.0	-0.008771929824561764
CIB1	4.0	-0.008771929824561764
IRS2	16.0	0.017543859649122306
TNF	7.0	-0.008771929824561764
BBC3	4.0	-0.008771929824561764
NKD2	11.0	0.017543859649122417
HCAR2	7.0	-0.008771929824561764
C1QTNF3	16.0	0.017543859649122306
ABLIM3	15.0	0.017543859649122417
ERBB4	19.0	0.02850877192982393
GPER1	-3.0	-0.008771929824561764
LRIG2	-2.0	-0.008771929824561764
KCNN4	-2.0	-0.008771929824561764
APBB3	7.0	-0.008771929824561764
CCT5	6.0	-0.008771929824561764
CD33	9.0	-0.0043859649122810485
TCAF2	-2.0	-0.008771929824561764
RIC3	10.0	-0.0043859649122812705
RPH3AL	10.0	-0.0043859649122812705
TGFB1	3.0	-0.008771929824561764
FZD5	0.0	-0.008771929824561764
ITGA3	5.0	-0.008771929824561764
PRKCE	-4.0	-0.013157894736842368
ARHGEF16	8.0	-0.008771929824561764
ACSL3	8.0	-0.008771929824561764
MYRIP	19.0	0.02850877192982393
BAIAP3	2.0	-0.008771929824561764
CDK5	10.0	-0.0043859649122812705
C1QTNF12	-2.0	-0.008771929824561764
CENPJ	8.0	-0.008771929824561764
GHRL	20.0	0.03947368421052605
EZR	-3.0	-0.008771929824561764
CFTR	12.0	0.017543859649122417
PPID	8.0	-0.008771929824561764
ABCG1	0.0	-0.008771929824561764
