Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	16.0	0.00603174603174661
SLC27A1	11.0	-0.0019682539682533973
TFRC	3.0	-0.0026349206349203236
FAM107A	18.0	0.00603174603174661
CIB1	4.0	-0.0026349206349203236
CBLB	10.0	-0.0019682539682533973
FZD10	-1.0	-0.0026349206349203236
TNF	7.0	-0.0019682539682533973
MYB	0.0	-0.0026349206349203236
FBXO4	-2.0	-0.0026349206349203236
SOX7	-1.0	-0.0026349206349203236
ARID5A	8.0	-0.0019682539682533973
VRK3	8.0	-0.0019682539682533973
PRLR	1.0	-0.0026349206349203236
RNF41	-3.0	-0.0026349206349203236
CDC25B	6.0	-0.0019682539682533973
MOB3C	6.0	-0.0019682539682533973
EZR	-3.0	-0.0026349206349203236
S100A9	1.0	-0.0026349206349203236
ABCG1	0.0	-0.0026349206349203236
CSF1R	8.0	-0.0019682539682533973
NNMT	17.0	0.00603174603174661
ECSCR	-4.0	-0.0026349206349203236
NEDD4L	11.0	-0.0019682539682533973
FBLN1	17.0	0.00603174603174661
ADRB2	12.0	0.00603174603174661
MST1R	7.0	-0.0019682539682533973
FOXO1	-2.0	-0.0026349206349203236
HPX	20.0	0.01336507936507969
CCNB1	6.0	-0.0019682539682533973
BCL2L11	8.0	-0.0019682539682533973
CLEC7A	-3.0	-0.0026349206349203236
CAMTA1	10.0	-0.0019682539682533973
PPARGC1A	-2.0	-0.0026349206349203236
FANCI	-2.0	-0.0026349206349203236
EGR1	4.0	-0.0026349206349203236
TGFB1	3.0	-0.0026349206349203236
AUTS2	-2.0	-0.0026349206349203236
HSPA5	-3.0	-0.0026349206349203236
FZD5	0.0	-0.0026349206349203236
CAV3	15.0	0.00603174603174661
BDNF	-2.0	-0.0026349206349203236
UQCC2	13.0	0.00603174603174661
RARRES2	19.0	0.00603174603174661
CAV1	11.0	-0.0019682539682533973
FN1	19.0	0.00603174603174661
PILRB	9.0	-0.0019682539682533973
RGCC	-3.0	-0.0026349206349203236
CDK5	10.0	-0.0019682539682533973
BCL6	18.0	0.00603174603174661
SLC6A9	1.0	-0.0026349206349203236
BCL3	3.0	-0.0026349206349203236
MAP3K10	10.0	-0.0019682539682533973
CCDC22	8.0	-0.0019682539682533973
CALM1	0.0	-0.0026349206349203236
MAP3K13	0.0	-0.0026349206349203236
BCAR3	-2.0	-0.0026349206349203236
DET1	8.0	-0.0019682539682533973
BMPR2	-4.0	-0.0026349206349203236
DIRAS1	11.0	-0.0019682539682533973
ITGB3	-4.0	-0.0026349206349203236
PCSK9	17.0	0.00603174603174661
BRCA1	12.0	0.00603174603174661
VLDLR	-1.0	-0.0026349206349203236
SH3RF1	-4.0	-0.0026349206349203236
BBC3	4.0	-0.0026349206349203236
CASP9	10.0	-0.0019682539682533973
SDR16C5	9.0	-0.0019682539682533973
FLCN	6.0	-0.0019682539682533973
ING2	-2.0	-0.0026349206349203236
CASP5	10.0	-0.0019682539682533973
GPER1	-3.0	-0.0026349206349203236
CASP4	10.0	-0.0019682539682533973
CASP1	13.0	0.00603174603174661
BBS7	16.0	0.00603174603174661
CD36	17.0	0.00603174603174661
CD33	9.0	-0.0019682539682533973
HSP90AA1	13.0	0.00603174603174661
RIPK3	8.0	-0.0019682539682533973
SYK	8.0	-0.0019682539682533973
NSUN5	9.0	-0.0019682539682533973
SLC39A10	11.0	-0.0019682539682533973
TENT5B	12.0	0.00603174603174661
CBFA2T3	10.0	-0.0019682539682533973
TGFBR2	-2.0	-0.0026349206349203236
TRAF4	6.0	-0.0019682539682533973
RPUSD3	7.0	-0.0019682539682533973
CKS2	7.0	-0.0019682539682533973
CRY1	-3.0	-0.0026349206349203236
FAM20A	3.0	-0.0026349206349203236
PLCB1	18.0	0.00603174603174661
GPRC5C	2.0	-0.0026349206349203236
BIRC3	9.0	-0.0019682539682533973
CX3CR1	8.0	-0.0019682539682533973
PELI2	-4.0	-0.0026349206349203236
PTAFR	4.0	-0.0026349206349203236
LRP4	0.0	-0.0026349206349203236
FGD2	20.0	0.01336507936507969
HSPD1	9.0	-0.0019682539682533973
ARNTL	0.0	-0.0026349206349203236
RNFT1	9.0	-0.0019682539682533973
AURKA	5.0	-0.0026349206349203236
NKD2	11.0	-0.0019682539682533973
NTF4	10.0	-0.0019682539682533973
CLEC3B	19.0	0.00603174603174661
ERBB4	19.0	0.00603174603174661
LDLR	10.0	-0.0019682539682533973
STOX1	-1.0	-0.0026349206349203236
HES5	7.0	-0.0019682539682533973
BRD4	20.0	0.01336507936507969
TBX1	-1.0	-0.0026349206349203236
IL33	11.0	-0.0019682539682533973
EGLN2	6.0	-0.0019682539682533973
ANGPT1	17.0	0.00603174603174661
CARD8	9.0	-0.0019682539682533973
VEGFD	-2.0	-0.0026349206349203236
KLF4	18.0	0.00603174603174661
KLF2	9.0	-0.0019682539682533973
VEGFA	0.0	-0.0026349206349203236
RAD50	8.0	-0.0019682539682533973
KITLG	9.0	-0.0019682539682533973
ITCH	-3.0	-0.0026349206349203236
ASB9	14.0	0.00603174603174661
PDCD2	11.0	-0.0019682539682533973
GHRL	20.0	0.01336507936507969
HSPA1A	9.0	-0.0019682539682533973
