Item ID	Item value	Change in Kuiper test statistic when item removed
CSF1R	8.0	-0.0043290043290042934
SLC27A1	11.0	-0.0043290043290042934
BMPR2	-4.0	-0.03409090909090895
TGFB1	3.0	-0.0043290043290042934
SYK	8.0	-0.0043290043290042934
FZD5	0.0	-0.0043290043290042934
DIRAS1	11.0	-0.0043290043290042934
CIB1	4.0	-0.0043290043290042934
FZD10	-1.0	-0.02813852813852802
ADRB2	12.0	0.037337662337662114
MST1R	7.0	-0.0043290043290042934
TNF	7.0	-0.0043290043290042934
FGD2	20.0	0.06114718614718606
VEGFA	0.0	-0.0043290043290042934
KITLG	9.0	-0.0043290043290047375
CCNB1	6.0	-0.0043290043290042934
RGCC	-3.0	-0.03409090909090895
CKS2	7.0	-0.0043290043290042934
MAP3K10	10.0	-0.0043290043290047375
FAM20A	3.0	-0.0043290043290042934
CALM1	0.0	-0.0043290043290042934
MAP3K13	0.0	-0.0043290043290042934
