Item ID	Item value	Change in Kuiper test statistic when item removed
DET1	8.0	-0.007936507936507686
UBXN2B	9.0	-0.00793650793650813
NEDD4L	11.0	-0.007936507936507686
FBXO44	8.0	-0.007936507936507686
SH3RF1	-4.0	-0.007936507936507686
ARNTL	0.0	-0.007936507936507686
AURKA	5.0	-0.007936507936507686
NKD2	11.0	-0.007936507936507686
FBXO4	-2.0	-0.007936507936507686
UBXN8	11.0	-0.007936507936507686
BBS7	16.0	0.029100529100529238
TBL1X	12.0	0.029100529100529238
DESI1	11.0	-0.007936507936507686
HSPA5	-3.0	-0.007936507936507686
RHBDD2	-1.0	-0.007936507936507686
CAV1	11.0	-0.007936507936507686
BFAR	7.0	-0.007936507936507686
ARMC8	-4.0	-0.007936507936507686
FBXL14	20.0	0.06613756613756622
TRPC4AP	0.0	-0.007936507936507686
RAD23B	-2.0	-0.007936507936507686
CBFA2T3	10.0	-0.007936507936507686
DNAJC18	8.0	-0.007936507936507686
RNF126	20.0	0.06613756613756622
ITCH	-3.0	-0.007936507936507686
TRAF4	6.0	-0.007936507936507686
ASB2	-1.0	-0.007936507936507686
HSPA1A	9.0	-0.00793650793650813
