Item ID	Item value	Change in Kuiper test statistic when item removed
ERO1A	-1.0	0.039473684210525994
RIC3	10.0	-0.004385964912280882
HSP90AA1	13.0	0.028508771929824206
SDF2L1	12.0	0.01754385964912253
HSPA5	-3.0	0.039473684210525994
LMAN2L	9.0	-0.013157894736842424
HSPA14	-3.0	0.039473684210525994
CCT6B	-1.0	0.039473684210525994
DNAJC18	8.0	-0.013157894736842424
HSPD1	9.0	-0.013157894736842424
PDRG1	6.0	-0.013157894736842424
DNAJA1	8.0	-0.013157894736842424
HSPH1	9.0	-0.013157894736842424
CHORDC1	7.0	-0.013157894736842424
SACS	8.0	-0.013157894736842424
ERP27	11.0	0.0065789473684207955
CCT5	6.0	-0.013157894736842424
PPID	8.0	-0.013157894736842424
FKBP5	16.0	0.03947368421052594
HSPA1A	9.0	-0.013157894736842424
