Item ID	Item value	Change in Kuiper test statistic when item removed
TDRKH	12.0	0.035737812911726174
TBX1	-1.0	-0.03623188405797062
EMX2	1.0	-0.017292490118576698
BMPR2	-4.0	-0.047595520421606974
FZD5	0.0	-0.017292490118576698
ZBTB16	15.0	0.03952569169960496
IRX3	11.0	-0.0021409749670618927
LRP4	0.0	-0.017292490118576698
HOXD10	1.0	-0.017292490118576698
NLE1	9.0	-0.0021409749670616707
AURKA	5.0	-0.00971673254281924
NTF4	10.0	-0.0021409749670618927
HEYL	11.0	-0.0021409749670618927
AR	10.0	-0.0021409749670618927
DCANP1	6.0	-0.005928853754940344
DZIP1L	-3.0	-0.04380764163372819
CDK20	8.0	-0.0021409749670616707
HES2	-2.0	-0.040019762845849405
PRKACB	0.0	-0.017292490118576698
HOXB6	7.0	-0.0021409749670618927
HOXD8	17.0	0.03952569169960496
HES5	7.0	-0.0021409749670618927
TP63	18.0	0.03952569169960496
