Item ID	Item value	Change in Kuiper test statistic when item removed
DET1	12.0	-0.010796221322536936
RNASEL	14.0	-0.010796221322536936
ECSCR	1.0	0.015519568151147245
IRS2	20.0	0.015519568151147245
ADRB2	16.0	-0.010796221322536936
TNF	11.0	0.015519568151147245
RNFT1	13.0	-0.010796221322536936
AURKA	9.0	0.015519568151147245
NKD2	16.0	-0.010796221322536936
EXOSC7	5.0	0.015519568151147245
FLCN	10.0	0.015519568151147245
BCL2L11	12.0	-0.010796221322536936
SESN3	10.0	0.015519568151147245
TRIM5	15.0	-0.010796221322536936
TRIM68	12.0	-0.010796221322536936
CASP1	17.0	-0.010796221322536936
TIMP3	18.0	0.015519568151147245
SLC38A9	14.0	-0.010796221322536936
BBS7	20.0	0.015519568151147245
LRIG2	2.0	0.015519568151147245
LDLR	14.0	-0.010796221322536936
ATP6V1E2	15.0	-0.010796221322536936
BNIP3L	4.0	0.015519568151147245
WNT10B	15.0	-0.010796221322536936
IL33	15.0	-0.010796221322536936
HSP90AA1	17.0	-0.010796221322536936
DESI1	16.0	-0.010796221322536936
FZD5	5.0	0.015519568151147245
UQCC2	17.0	-0.010796221322536936
DAPK2	5.0	0.015519568151147245
RAD23B	3.0	0.015519568151147245
CBFA2T3	14.0	-0.010796221322536936
RNF41	2.0	0.015519568151147245
ITCH	2.0	0.015519568151147245
AADAC	16.0	-0.010796221322536936
DXO	13.0	-0.010796221322536936
CCDC22	13.0	-0.010796221322536936
MET	13.0	-0.010796221322536936
DCP2	12.0	-0.010796221322536936
