Item ID	Item value	Change in Kuiper test statistic when item removed
BMPR2	-4.0	-0.027692307692307294
AVIL	6.0	0.012307692307692686
NTN1	19.0	0.05230769230769272
AQP1	16.0	0.012307692307692686
LIMA1	7.0	0.012307692307692686
VILL	10.0	0.012307692307692686
KCNN4	-2.0	-0.027692307692307294
CARMIL1	1.0	-0.026025641025640756
CAV3	15.0	0.012307692307692686
TMOD4	8.0	0.012307692307692686
BDNF	-2.0	-0.027692307692307294
PRKCE	-4.0	-0.027692307692307294
FN1	19.0	0.05230769230769272
TRPV2	9.0	0.012307692307692686
SEMA4F	10.0	0.012307692307692686
ANO6	0.0	-0.027692307692307294
VEGFA	0.0	-0.027692307692307294
CXCL12	17.0	0.012307692307692686
CDK5	10.0	0.012307692307692686
TRPV4	1.0	-0.026025641025640756
EVL	11.0	0.012307692307692686
EZR	-3.0	-0.027692307692307294
MAP3K13	0.0	-0.027692307692307294
KANK4	19.0	0.05230769230769272
CCL26	12.0	0.012307692307692686
KANK3	-1.0	-0.027692307692307294
