Item ID	Item value	Change in Kuiper test statistic when item removed
L3MBTL1	13.0	-0.009751773049645418
MUS81	13.0	-0.009751773049645418
UBXN2B	13.0	-0.009751773049645418
PPP1R10	12.0	-0.009751773049645418
MEPCE	10.0	-0.009751773049645307
FAM107A	22.0	0.011524822695035464
BRCA1	16.0	0.011524822695035464
TNF	11.0	-0.009751773049645307
AURKA	9.0	0.01152482269503552
FLCN	10.0	-0.009751773049645307
BRIP1	1.0	0.01152482269503552
CCNB1	10.0	-0.009751773049645307
PTTG1	5.0	0.01152482269503552
ADAMTS1	13.0	-0.009751773049645418
GPER1	1.0	0.01152482269503552
FBXO4	2.0	0.01152482269503552
CCL2	12.0	-0.009751773049645418
TP53BP1	15.0	-0.009751773049645418
FAM83D	14.0	-0.009751773049645307
GTSE1	4.0	0.01152482269503552
RAB11FIP3	13.0	-0.009751773049645418
STOX1	3.0	0.01152482269503552
RAB11FIP4	24.0	0.011524822695035464
BRD4	24.0	0.011524822695035464
CDKN2B	11.0	-0.009751773049645307
RBM14	14.0	-0.009751773049645307
RRM2	11.0	-0.009751773049645307
ATAD5	0.0	0.01152482269503552
DUSP1	21.0	0.011524822695035464
PRKCE	0.0	0.01152482269503552
INTS3	15.0	-0.009751773049645418
PPP2R5B	12.0	-0.009751773049645418
SETMAR	13.0	-0.009751773049645418
FOXN3	2.0	0.01152482269503552
OVOL1	10.0	-0.009751773049645307
KLF4	22.0	0.011524822695035464
EML3	12.0	-0.009751773049645418
CDC25B	10.0	-0.009751773049645307
CRNN	18.0	0.011524822695035464
RAD51B	21.0	0.011524822695035464
RGCC	1.0	0.01152482269503552
BCL6	22.0	0.011524822695035464
CENPJ	12.0	-0.009751773049645418
CRY1	1.0	0.01152482269503552
TIMELESS	15.0	-0.009751773049645418
NABP1	13.0	-0.009751773049645418
CALM1	4.0	0.01152482269503552
HSPA1A	13.0	-0.009751773049645418
