Item ID	Item value	Change in Kuiper test statistic when item removed
RTKN	13.0	-0.003864319450407827
TFRC	7.0	0.003488621726062846
HP	18.0	0.003488621726062846
CIB1	8.0	0.0034886217260627905
IRS2	20.0	0.003488621726062846
ENO2	5.0	0.003488621726062846
TNF	11.0	0.0010376413339059365
AQP1	20.0	0.003488621726062846
LGALS2	3.0	0.003488621726062846
LAMP3	6.0	0.003488621726062846
PDK4	17.0	0.003488621726062846
PHLDA2	9.0	0.0034886217260627905
EPHB1	1.0	0.003488621726062846
TP63	22.0	0.003488621726062846
IER3	8.0	0.0034886217260627905
BNIP3L	4.0	0.003488621726062846
ST6GAL1	13.0	-0.003864319450407827
DAPK2	5.0	0.003488621726062846
IGFBP3	21.0	0.003488621726062846
PRLR	5.0	0.003488621726062846
AR	14.0	-0.003864319450407827
DDIT4	3.0	0.003488621726062846
TYRO3	15.0	-0.003864319450407716
CARD16	15.0	-0.003864319450407716
ZFPM2	20.0	0.003488621726062846
S100A9	5.0	0.003488621726062846
ATF3	12.0	-0.003864319450407827
NAIP	13.0	-0.003864319450407827
PPID	12.0	-0.003864319450407827
CSF1R	12.0	-0.003864319450407827
ECSCR	0.0	0.003488621726062846
TEX261	12.0	-0.003864319450407827
OMA1	14.0	-0.003864319450407827
PRDM11	14.0	-0.003864319450407827
FOXO1	2.0	0.003488621726062846
NPAS2	5.0	0.003488621726062846
HCAR2	11.0	0.0010376413339059365
SOCS2	17.0	0.003488621726062846
SOCS3	8.0	0.0034886217260627905
BCL2L11	12.0	-0.003864319450407827
CLEC7A	1.0	0.003488621726062846
PPARGC1A	2.0	0.003488621726062846
EGR1	8.0	0.0034886217260627905
CDSN	13.0	-0.003864319450407827
SDF2L1	16.0	0.001037641333905992
HSPA5	1.0	0.003488621726062846
TNFSF14	10.0	0.003488621726062846
BDNF	2.0	0.003488621726062846
ZBTB16	19.0	0.003488621726062846
CAV1	15.0	-0.003864319450407716
PYCR1	16.0	0.001037641333905992
DHCR24	16.0	0.001037641333905992
BFAR	11.0	0.0010376413339059365
ELL3	14.0	-0.003864319450407827
ZC3HC1	11.0	0.0010376413339059365
RGCC	1.0	0.003488621726062846
CXCL12	21.0	0.003488621726062846
NR4A3	10.0	0.003488621726062846
CDK5	14.0	-0.003864319450407827
BCL6	22.0	0.003488621726062846
ID1	6.0	0.003488621726062846
BCL3	7.0	0.003488621726062846
MAP3K10	14.0	-0.003864319450407827
ADA	14.0	-0.003864319450407827
PPP1R10	12.0	-0.003864319450407827
OGG1	13.0	-0.003864319450407827
TRADD	15.0	-0.003864319450407716
PCSK9	21.0	0.003488621726062846
ADM	2.0	0.003488621726062846
BRCA1	16.0	0.001037641333905992
SH3RF1	0.0	0.003488621726062846
BBC3	8.0	0.0034886217260627905
CASP9	14.0	-0.003864319450407827
FLCN	10.0	0.003488621726062846
ING2	2.0	0.003488621726062846
OPA1	2.0	0.003488621726062846
CASP5	14.0	-0.003864319450407827
CHL1	20.0	0.003488621726062846
GPER1	1.0	0.003488621726062846
CASP4	14.0	-0.003864319450407827
CASP1	17.0	0.003488621726062846
TIMP3	18.0	0.003488621726062846
TNFAIP8L2	13.0	-0.003864319450407827
PLEKHN1	15.0	-0.003864319450407716
CD36	21.0	0.003488621726062846
CCR5	9.0	0.0034886217260627905
CD34	23.0	0.003488621726062846
RBM5	11.0	0.0010376413339059365
HSP90AA1	17.0	0.003488621726062846
ARG2	14.0	-0.003864319450407827
RIPK3	12.0	-0.003864319450407827
TNFRSF12A	8.0	0.0034886217260627905
SYK	12.0	-0.003864319450407827
SIRT4	13.0	-0.003864319450407827
SLC39A10	15.0	-0.003864319450407716
ANO6	4.0	0.003488621726062846
TRAF1	15.0	-0.003864319450407716
TENT5B	16.0	0.001037641333905992
DUSP6	9.0	0.0034886217260627905
TRAF4	10.0	0.003488621726062846
IRF7	12.0	-0.003864319450407827
BIRC5	4.0	0.003488621726062846
SLC25A4	3.0	0.003488621726062846
MET	13.0	-0.003864319450407827
BIRC3	13.0	-0.003864319450407827
CX3CR1	12.0	-0.003864319450407827
AMIGO2	2.0	0.003488621726062846
CXCR4	1.0	0.003488621726062846
STYXL1	14.0	-0.003864319450407827
HSPD1	13.0	-0.003864319450407827
AURKA	9.0	0.0034886217260627905
NTF4	14.0	-0.003864319450407827
BCLAF1	23.0	0.003488621726062846
CCL2	12.0	-0.003864319450407827
TAF9B	16.0	0.001037641333905992
TBX1	3.0	0.003488621726062846
EGLN2	10.0	0.003488621726062846
ANGPT1	21.0	0.003488621726062846
ATAD5	0.0	0.003488621726062846
EYA2	12.0	-0.003864319450407827
CARD8	13.0	-0.003864319450407827
CARD6	14.0	-0.003864319450407827
AKR1C3	14.0	-0.003864319450407827
KLF4	22.0	0.003488621726062846
NLE1	13.0	-0.003864319450407827
VEGFA	4.0	0.003488621726062846
DNAJA1	12.0	-0.003864319450407827
KITLG	13.0	-0.003864319450407827
ITCH	1.0	0.003488621726062846
GPAM	12.0	-0.003864319450407827
NMNAT1	11.0	0.0010376413339059365
CTH	12.0	-0.003864319450407827
IL2RB	13.0	-0.003864319450407827
TRIM35	20.0	0.003488621726062846
PDCD2	15.0	-0.003864319450407716
GHRL	24.0	0.003488621726062846
HSPA1A	13.0	-0.003864319450407827
