Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	16.0	0.009227362204724365
SERPINE2	-3.0	-0.006520669291338821
TFRC	3.0	-0.006520669291338599
TNC	-2.0	-0.006520669291338821
CIB1	4.0	-0.006520669291338599
IRS2	16.0	0.009227362204724365
CBLB	10.0	0.0013533464566928832
TNF	7.0	0.0013533464566927722
AQP1	16.0	0.009227362204724365
PLAU	3.0	-0.006520669291338599
FBXO4	-2.0	-0.006520669291338821
PHLDA2	5.0	-0.006520669291338599
EPHB1	-3.0	-0.006520669291338821
JUNB	5.0	-0.006520669291338599
SOX7	-1.0	-0.006520669291338599
TP63	18.0	0.009227362204724365
OSR2	18.0	0.009227362204724365
PDGFRA	13.0	0.009227362204724365
ST6GAL1	9.0	0.0013533464566928832
IL4R	4.0	-0.006520669291338599
IGFBP3	17.0	0.009227362204724365
OVOL1	6.0	-0.006520669291338599
PRLR	1.0	-0.006520669291338821
RNF41	-3.0	-0.006520669291338821
CDC25B	6.0	-0.006520669291338599
AR	10.0	0.0013533464566928832
RNF126	20.0	0.009227362204724365
AZGP1	9.0	0.0013533464566928832
TIMELESS	11.0	0.0036499343832019915
EPHA1	7.0	0.0013533464566927722
ZFPM2	16.0	0.009227362204724365
ATF3	8.0	0.0013533464566928832
CSF1R	8.0	0.0013533464566928832
FBLN1	17.0	0.009227362204724365
MST1R	7.0	0.0013533464566927722
FUT2	9.0	0.0013533464566928832
FOXO1	-2.0	-0.006520669291338821
FUT3	1.0	-0.006520669291338821
BRIP1	-3.0	-0.006520669291338821
CCNB1	6.0	-0.006520669291338599
NUAK1	10.0	0.0013533464566928832
CLEC7A	-3.0	-0.006520669291338821
IGFBP7	18.0	0.009227362204724365
PPARGC1A	-2.0	-0.006520669291338821
EGR1	4.0	-0.006520669291338599
ZNF143	10.0	0.0013533464566928832
TGFB1	3.0	-0.006520669291338599
FZD5	0.0	-0.006520669291338599
CAV3	15.0	0.009227362204724365
FANCL	10.0	0.0013533464566928832
ZBTB16	15.0	0.009227362204724365
CAV1	11.0	0.0036499343832019915
FN1	19.0	0.009227362204724365
DHCR24	12.0	0.009227362204724365
ELL3	10.0	0.0013533464566928832
CRNN	14.0	0.009227362204724365
BST1	1.0	-0.006520669291338821
RGCC	-3.0	-0.006520669291338821
CXCL12	17.0	0.009227362204724365
NR4A3	6.0	-0.006520669291338599
BCL6	18.0	0.009227362204724365
FES	8.0	0.0013533464566928832
ID1	2.0	-0.006520669291338599
NANOG	-3.0	-0.006520669291338821
ADA	10.0	0.0013533464566928832
BMPR2	-4.0	-0.006520669291338821
ITGB3	-4.0	-0.006520669291338821
ADM	-2.0	-0.006520669291338821
LAMC2	0.0	-0.006520669291338599
LAMC1	-1.0	-0.006520669291338599
NR2E3	9.0	0.0013533464566928832
SH3RF1	-4.0	-0.006520669291338821
FLCN	6.0	-0.006520669291338599
ING2	-2.0	-0.006520669291338821
ADAMTS1	9.0	0.0013533464566928832
GPER1	-3.0	-0.006520669291338821
RBM5	7.0	0.0013533464566927722
CD33	9.0	0.0013533464566928832
ARG2	10.0	0.0013533464566928832
PTGIR	9.0	0.0013533464566928832
FGFBP1	-3.0	-0.006520669291338821
RIPK3	8.0	0.0013533464566928832
SYK	8.0	0.0013533464566928832
DUSP1	17.0	0.009227362204724365
PLA2G4A	8.0	0.0013533464566928832
SLC39A10	11.0	0.0036499343832019915
TENT5B	12.0	0.009227362204724365
CBFA2T3	10.0	0.0013533464566928832
TGFBR2	-2.0	-0.006520669291338821
RAD51B	17.0	0.009227362204724365
CEACAM1	19.0	0.009227362204724365
IRF1	3.0	-0.006520669291338599
TRNP1	11.0	0.0036499343832019915
BIRC5	0.0	-0.006520669291338599
CX3CR1	8.0	0.0013533464566928832
PTAFR	4.0	-0.006520669291338599
CRIP2	0.0	-0.006520669291338599
NTN1	19.0	0.009227362204724365
TBRG1	2.0	-0.006520669291338599
SERTAD1	7.0	0.0013533464566927722
ERBB4	19.0	0.009227362204724365
CLMN	-1.0	-0.006520669291338599
ALOX5	3.0	-0.006520669291338599
CHRNA10	8.0	0.0013533464566928832
CCL2	8.0	0.0013533464566928832
SLIT3	17.0	0.009227362204724365
STOX1	-1.0	-0.006520669291338599
HES5	7.0	0.0013533464566927722
TBX1	-1.0	-0.006520669291338599
IL33	11.0	0.0036499343832019915
CDKN2B	7.0	0.0013533464566927722
GABBR1	10.0	0.0013533464566928832
ANGPT1	17.0	0.009227362204724365
ATAD5	-4.0	-0.006520669291338821
AKR1C3	10.0	0.0013533464566928832
VEGFD	-2.0	-0.006520669291338821
KLF4	18.0	0.009227362204724365
VEGFA	0.0	-0.006520669291338599
PER2	17.0	0.009227362204724365
KITLG	9.0	0.0013533464566928832
ITCH	-3.0	-0.006520669291338821
GPAM	8.0	0.0013533464566928832
KLF9	16.0	0.009227362204724365
PDCD2	11.0	0.0036499343832019915
GHRL	20.0	0.009227362204724365
ZNF335	8.0	0.0013533464566928832
CCL26	12.0	0.009227362204724365
HSPA1A	9.0	0.0013533464566928832
