Item ID	Item value	Change in Kuiper test statistic when item removed
PTGER4	11.0	0.012195121951219412
RNASEL	14.0	-0.012195121951219523
AKNA	14.0	-0.012195121951219523
TNFAIP6	23.0	0.012195121951219412
TRADD	15.0	-0.012195121951219634
TNF	11.0	0.012195121951219412
NPAS2	6.0	0.012195121951219412
C1QTNF3	20.0	0.012195121951219412
HPX	24.0	0.012195121951219412
GJA1	4.0	0.012195121951219412
IL1RL2	13.0	-0.012195121951219634
CASP5	14.0	-0.012195121951219523
TRIM5	15.0	-0.012195121951219634
GPER1	1.0	0.012195121951219412
CASP4	14.0	-0.012195121951219523
SLAMF8	14.0	-0.012195121951219523
CASP1	17.0	0.012195121951219412
TNFAIP8L2	13.0	-0.012195121951219634
A2M	22.0	0.012195121951219412
LDLR	14.0	-0.012195121951219523
BRD4	0.0	0.012195121951219412
IL33	15.0	-0.012195121951219634
RBM14	14.0	-0.012195121951219523
HSP90AA1	17.0	0.012195121951219412
ARG2	14.0	-0.012195121951219523
IL37	14.0	-0.012195121951219523
NR1D2	13.0	-0.012195121951219634
ZDHHC11	4.0	0.012195121951219412
KLF4	23.0	0.012195121951219412
BST1	5.0	0.012195121951219412
ITCH	2.0	0.012195121951219412
RAET1E	14.0	-0.012195121951219523
BCL6	22.0	0.012195121951219412
IRF7	13.0	-0.012195121951219634
TYRO3	15.0	-0.012195121951219634
ZYX	15.0	-0.012195121951219634
GHRL	24.0	0.012195121951219412
DNASE1	11.0	0.012195121951219412
TEK	20.0	0.012195121951219412
S100A9	6.0	0.012195121951219412
ADA	14.0	-0.012195121951219523
BIRC3	13.0	-0.012195121951219634
