Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	20.0	0.008182349503214725
TFRC	7.0	0.00818234950321467
CLPB	13.0	-0.009059029807130137
CBLB	14.0	-0.009059029807130137
TNF	11.0	0.008182349503214725
TRIM5	14.0	-0.009059029807130137
MYB	4.0	0.00818234950321467
CTSG	20.0	0.008182349503214725
CD36	21.0	0.008182349503214725
CD33	13.0	-0.009059029807130137
RBM14	14.0	-0.009059029807130137
HSP90AA1	17.0	0.008182349503214725
ARG2	14.0	-0.009059029807130137
IL4R	8.0	0.00818234950321467
RIPK3	12.0	-0.009059029807130137
SYK	12.0	-0.009059029807130137
PRKCE	0.0	0.00818234950321467
ARID5A	12.0	-0.009059029807130137
PLA2G4A	12.0	-0.009059029807130137
SLC39A10	15.0	-0.009059029807130026
BTN3A2	13.0	-0.009059029807130137
AZGP1	13.0	-0.009059029807130137
IRF7	12.0	-0.009059029807130137
TYRO3	15.0	-0.009059029807130026
DNASE2	8.0	0.00818234950321467
TLR5	14.0	-0.009059029807130137
EZR	1.0	0.00818234950321467
BIRC3	13.0	-0.009059029807130137
CFH	22.0	0.008182349503214725
C1S	0.0	0.00818234950321467
C1R	23.0	0.008182349503214725
PTAFR	8.0	0.00818234950321467
CD1A	13.0	-0.009059029807130137
HSPD1	13.0	-0.009059029807130137
HPX	24.0	0.008182349503214725
C5	15.0	-0.009059029807130026
CLEC7A	1.0	0.00818234950321467
SLAMF8	14.0	-0.009059029807130137
TP53BP1	15.0	-0.009059029807130026
A2M	22.0	0.008182349503214725
KCNN4	2.0	0.00818234950321467
EIF2B4	11.0	0.008182349503214725
TGFB1	7.0	0.00818234950321467
PLEKHA1	3.0	0.00818234950321467
FZD5	4.0	0.00818234950321467
ATAD5	0.0	0.00818234950321467
KLRC4	23.0	0.008182349503214725
CAV1	15.0	-0.009059029807130026
MFAP4	21.0	0.008182349503214725
ITCH	1.0	0.00818234950321467
RAET1E	14.0	-0.009059029807130137
RGCC	1.0	0.00818234950321467
NR4A3	10.0	0.00818234950321467
BCL6	22.0	0.008182349503214725
FES	12.0	-0.009059029807130137
IGLL1	15.0	-0.009059029807130026
ADA	14.0	-0.009059029807130137
HSPA1A	13.0	-0.009059029807130137
C1QC	2.0	0.00818234950321467
