Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	16.0	0.051666666666666694
CD83	8.0	0.010000000000000064
TNFAIP6	18.0	0.051666666666666694
LRRC17	-4.0	-0.031666666666666565
TNF	7.0	-0.031666666666666565
SH3RF1	-4.0	-0.031666666666666565
IL1RL2	9.0	0.009999999999999898
MYB	0.0	-0.031666666666666565
SLAMF8	10.0	0.009999999999999953
PPARGC1B	1.0	-0.031666666666666565
IL4R	4.0	-0.03166666666666662
TGFB1	3.0	-0.031666666666666565
SYK	8.0	0.010000000000000064
ZBTB16	15.0	0.051666666666666694
RNF41	-3.0	-0.031666666666666565
TGFBR2	-2.0	-0.031666666666666565
KITLG	9.0	0.009999999999999898
CEACAM1	19.0	0.051666666666666694
BCL6	18.0	0.051666666666666694
FES	8.0	0.010000000000000064
IRF1	3.0	-0.031666666666666565
IRF7	8.0	0.010000000000000064
TCTA	8.0	0.010000000000000064
ADA	10.0	0.009999999999999953
C1QC	-2.0	-0.031666666666666565
