Item ID	Item value	Change in Kuiper test statistic when item removed
SLC27A1	11.0	0.006613756613756905
AVIL	6.0	0.0019841269841272546
ADM	-2.0	-0.03042328042328013
IRS2	16.0	0.043650793650793884
BRCA1	12.0	0.006613756613756905
TNF	7.0	0.006613756613756905
SEC14L2	-1.0	-0.03042328042328013
HCAR2	7.0	0.006613756613756905
GPER1	-3.0	-0.03042328042328013
PDK4	13.0	0.006613756613756905
IGFBP7	18.0	0.043650793650793884
PPARGC1A	-2.0	-0.03042328042328013
LDLR	10.0	0.006613756613756905
PDK1	-1.0	-0.03042328042328013
EGR1	4.0	-0.03042328042328013
PDGFRA	13.0	0.006613756613756905
TGFB1	3.0	-0.03042328042328013
EPHX2	13.0	0.006613756613756905
PRKCE	-4.0	-0.03042328042328013
RARRES2	19.0	0.043650793650793884
CAV1	11.0	0.006613756613756905
SIRT4	9.0	0.006613756613756905
AKR1C3	10.0	0.006613756613756905
ACSL3	8.0	0.006613756613756905
CEACAM1	19.0	0.043650793650793884
NR4A3	6.0	0.0019841269841272546
AADAC	12.0	0.006613756613756905
ABCG1	0.0	-0.03042328042328013
