Item ID	Item value	Change in Kuiper test statistic when item removed
RTEL1	15.0	-0.012820512820512775
PPP1R10	12.0	-0.012820512820512775
OGG1	13.0	-0.012820512820512775
BRCA1	16.0	-0.009615384615384581
NPAS2	5.0	0.025641025641025772
CASP9	14.0	-0.012820512820512775
ZCWPW1	14.0	-0.012820512820512775
ING2	2.0	0.025641025641025772
HELB	11.0	0.025641025641025772
BCLAF1	23.0	0.025641025641025772
RECQL5	14.0	-0.012820512820512775
FBXO4	2.0	0.025641025641025772
EPC2	12.0	-0.012820512820512775
BRD8	12.0	-0.012820512820512775
TP53BP1	15.0	-0.012820512820512775
TAF9B	16.0	-0.009615384615384581
IER3	8.0	0.025641025641025772
ATAD5	0.0	0.025641025641025772
EYA2	12.0	-0.012820512820512775
NSMCE1	15.0	-0.012820512820512775
SETMAR	13.0	-0.012820512820512775
HIC1	13.0	-0.012820512820512775
ELL3	14.0	-0.012820512820512775
RAD52	12.0	-0.012820512820512775
CXCL12	21.0	0.025641025641025772
CRY1	1.0	0.025641025641025772
TIMELESS	15.0	-0.012820512820512775
