Item ID	Item value	Change in Kuiper test statistic when item removed
SERPINE2	1.0	0.0038610038610040753
TNF	11.0	0.00386100386100402
ACTG1	16.0	0.00386100386100402
SESN3	10.0	0.00386100386100402
PLAU	7.0	0.00386100386100402
FBXO4	2.0	0.0038610038610040753
EPHB1	1.0	0.0038610038610040753
IER3	8.0	0.0038610038610039643
PDGFRA	17.0	0.00386100386100402
PRKCE	0.0	0.0038610038610040753
NSMCE1	15.0	-0.005148005148005008
SETMAR	13.0	-0.005148005148005008
MTURN	17.0	0.00386100386100402
HIC1	13.0	-0.005148005148005008
TYRO3	15.0	-0.005148005148005008
TIMELESS	15.0	-0.005148005148005008
EZR	1.0	0.0038610038610040753
S100A9	5.0	0.00386100386100402
PHLDB2	10.0	0.00386100386100402
NAIP	13.0	-0.005148005148005008
RTEL1	15.0	-0.005148005148005008
AKNA	15.0	-0.005148005148005008
CFH	22.0	0.00386100386100402
FBLN5	22.0	0.00386100386100402
NPAS2	5.0	0.00386100386100402
HPX	24.0	0.00386100386100402
FUT8	15.0	-0.005148005148005008
NUAK1	14.0	-0.005148005148005008
BCL2L11	12.0	-0.005148005148005008
TSPAN8	15.0	-0.005148005148005008
CLEC7A	1.0	0.0038610038610040753
SLAMF8	14.0	-0.005148005148005008
ST3GAL4	1.0	0.0038610038610040753
TP53BP1	15.0	-0.005148005148005008
A2M	22.0	0.00386100386100402
HSPA5	1.0	0.0038610038610040753
CAV3	19.0	0.00386100386100402
KLRC4	23.0	0.00386100386100402
CAV1	15.0	-0.005148005148005008
PYCR1	16.0	0.00386100386100402
BFAR	11.0	0.00386100386100402
ELL3	14.0	-0.005148005148005008
BST1	5.0	0.00386100386100402
RAET1E	14.0	-0.005148005148005008
CXCL12	21.0	0.00386100386100402
NR4A3	10.0	0.00386100386100402
BCL6	22.0	0.00386100386100402
TRPV4	5.0	0.00386100386100402
MAP3K10	14.0	-0.005148005148005008
ADA	14.0	-0.005148005148005008
TNFAIP6	22.0	0.00386100386100402
PPP1R10	12.0	-0.005148005148005008
OGG1	13.0	-0.005148005148005008
TRADD	15.0	-0.005148005148005008
BRCA1	16.0	0.00386100386100402
SH3RF1	0.0	0.0038610038610040753
CASP9	14.0	-0.005148005148005008
C1QTNF3	20.0	0.00386100386100402
ZCWPW1	14.0	-0.005148005148005008
THBD	14.0	-0.005148005148005008
ING2	2.0	0.0038610038610040753
OPA1	2.0	0.0038610038610040753
CASP5	14.0	-0.005148005148005008
TRIM5	14.0	-0.005148005148005008
GPER1	1.0	0.0038610038610040753
CASP4	14.0	-0.005148005148005008
CASP1	17.0	0.00386100386100402
TNFAIP8L2	13.0	-0.005148005148005008
CD36	21.0	0.00386100386100402
CD34	23.0	0.00386100386100402
RBM14	14.0	-0.005148005148005008
HSP90AA1	17.0	0.00386100386100402
ARG2	14.0	-0.005148005148005008
TNFRSF12A	8.0	0.0038610038610039643
SYK	12.0	-0.005148005148005008
DUSP1	21.0	0.00386100386100402
ANO6	4.0	0.0038610038610040753
TRAF1	15.0	-0.005148005148005008
ZDHHC11	4.0	0.0038610038610040753
TRAF4	10.0	0.00386100386100402
C1QTNF12	2.0	0.0038610038610040753
CRY1	1.0	0.0038610038610040753
IRF7	12.0	-0.005148005148005008
DNASE1	11.0	0.00386100386100402
MET	13.0	-0.005148005148005008
BIRC3	13.0	-0.005148005148005008
CXCR4	1.0	0.0038610038610040753
ARNTL	4.0	0.0038610038610040753
RNFT1	13.0	-0.005148005148005008
IL1RL2	13.0	-0.005148005148005008
BCLAF1	23.0	0.00386100386100402
RECQL5	14.0	-0.005148005148005008
BRD8	12.0	-0.005148005148005008
LRIG2	2.0	0.0038610038610040753
TAF9B	16.0	0.00386100386100402
LDLR	14.0	-0.005148005148005008
STOX1	3.0	0.0038610038610040753
DUOX2	4.0	0.0038610038610040753
BRD4	24.0	0.00386100386100402
IL33	15.0	-0.005148005148005008
ATAD5	0.0	0.0038610038610040753
EYA2	12.0	-0.005148005148005008
IL37	14.0	-0.005148005148005008
KLF4	22.0	0.00386100386100402
VEGFA	4.0	0.0038610038610040753
DNAJA1	12.0	-0.005148005148005008
RAD52	12.0	-0.005148005148005008
PER1	17.0	0.00386100386100402
ITCH	1.0	0.0038610038610040753
ZYX	15.0	-0.005148005148005008
GHRL	24.0	0.00386100386100402
HSPA1A	13.0	-0.005148005148005008
