Item ID	Item value	Change in Kuiper test statistic when item removed
BDNF	-2.0	-0.03594771241830075
AMIGO2	-2.0	-0.03594771241830075
LRP4	0.0	-0.028594771241830186
TNF	7.0	0.02287581699346397
NTN1	19.0	0.04003267973856195
IGSF9	8.0	0.02287581699346397
COLQ	-3.0	-0.03594771241830075
DNM3	15.0	0.02287581699346397
ARHGAP44	14.0	0.02287581699346397
CDK5	10.0	0.02287581699346397
FLRT2	9.0	0.02287581699346397
CAPRIN1	-3.0	-0.03594771241830075
GHRL	20.0	0.08169934640522869
NPTX1	10.0	0.02287581699346397
EPHB1	-3.0	-0.03594771241830075
NGEF	1.0	0.005718954248365882
NECTIN1	0.0	-0.028594771241830186
LZTS3	-4.0	-0.03594771241830075
