Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	14.0	-0.006493506493506385
DIRAS3	1.0	0.006493506493506607
CD86	20.0	0.006493506493506607
SLC27A1	15.0	-0.006493506493506385
BMPR2	0.0	0.006493506493506607
DIRAS1	15.0	-0.006493506493506385
ITGB3	0.0	0.006493506493506607
CIB1	8.0	0.006493506493506607
IRS2	20.0	0.006493506493506607
CBLB	14.0	-0.006493506493506385
FZD10	3.0	0.006493506493506607
VLDLR	3.0	0.006493506493506607
TNF	11.0	-0.006493506493506385
EPM2AIP1	11.0	-0.006493506493506385
RGS2	10.0	-0.006493506493506385
CHORDC1	11.0	-0.006493506493506385
EPHB1	1.0	0.006493506493506607
CNPPD1	12.0	-0.006493506493506385
PDGFRA	17.0	0.006493506493506607
HSP90AA1	17.0	0.006493506493506607
RIPK3	12.0	-0.006493506493506385
SYK	12.0	-0.006493506493506385
DUSP1	21.0	0.006493506493506607
LMO4	11.0	-0.006493506493506385
IRAK3	24.0	0.006493506493506607
PRLR	5.0	0.006493506493506607
TGFBR2	2.0	0.006493506493506607
CDC25B	10.0	-0.006493506493506385
MOB3C	10.0	-0.006493506493506385
CEACAM1	23.0	0.006493506493506607
TRAF4	10.0	-0.006493506493506385
CKS2	11.0	-0.006493506493506385
TYRO3	15.0	-0.006493506493506385
ROR1	20.0	0.006493506493506607
FAM20A	7.0	0.006493506493506607
EPHA1	11.0	-0.006493506493506385
MET	13.0	-0.006493506493506385
GPRC5C	6.0	0.006493506493506607
CSF1R	12.0	-0.006493506493506385
PIF1	10.0	-0.006493506493506385
ADRB2	16.0	0.006493506493506607
HMGCR	14.0	-0.006493506493506385
MST1R	11.0	-0.006493506493506385
FGD2	24.0	0.006493506493506607
SOCS2	17.0	0.006493506493506607
SOCS3	8.0	0.006493506493506607
CCNB1	10.0	-0.006493506493506385
CHTF8	12.0	-0.006493506493506385
SERTAD1	11.0	-0.006493506493506385
ERBB4	23.0	0.006493506493506607
SLAMF8	14.0	-0.006493506493506385
SH3BP5	4.0	0.006493506493506607
SPTSSB	15.0	-0.006493506493506385
STOX1	3.0	0.006493506493506607
HEXIM2	13.0	-0.006493506493506385
EGR1	8.0	0.006493506493506607
GINS2	16.0	0.006493506493506607
CDKN2B	11.0	-0.006493506493506385
TGFB1	7.0	0.006493506493506607
ANGPT1	21.0	0.006493506493506607
FZD5	4.0	0.006493506493506607
CAV3	19.0	0.006493506493506607
CAV1	15.0	-0.006493506493506385
PILRB	13.0	-0.006493506493506385
KLF4	22.0	0.006493506493506607
VEGFA	4.0	0.006493506493506607
DNAJA1	12.0	-0.006493506493506385
RAD50	12.0	-0.006493506493506385
KITLG	13.0	-0.006493506493506385
DBNDD2	14.0	-0.006493506493506385
RGCC	1.0	0.006493506493506607
SH3BP5L	12.0	-0.006493506493506385
CDK5	14.0	-0.006493506493506385
MAP3K10	14.0	-0.006493506493506385
GHRL	24.0	0.006493506493506607
PKIG	3.0	0.006493506493506607
CALM1	4.0	0.006493506493506607
MAP3K13	4.0	0.006493506493506607
