Item ID	Item value	Change in Kuiper test statistic when item removed
PDGFRA	13.0	0.00789473684210501
TNFRSF12A	4.0	0.00789473684210501
SERPINE2	-3.0	-0.04473684210526341
PRKCE	-4.0	-0.04473684210526341
CAV1	11.0	0.007894736842104788
CXCR4	-3.0	-0.04473684210526341
ANO6	0.0	0.00789473684210501
TNF	7.0	0.00789473684210501
ACTG1	12.0	0.00789473684210501
THBD	10.0	0.00789473684210501
CEACAM1	19.0	0.06052631578947343
TSPAN8	11.0	0.007894736842104788
PLAU	3.0	0.00789473684210501
CLEC7A	-3.0	-0.04473684210526341
ALOX5	3.0	0.00789473684210501
ST3GAL4	-3.0	-0.04473684210526341
CD36	17.0	0.00789473684210501
PHLDB2	6.0	0.00789473684210501
CD34	19.0	0.06052631578947343
DUOX2	0.0	0.00789473684210501
