Item ID	Item value	Change in Kuiper test statistic when item removed
ERO1A	3.0	0.04093567251462005
SDF2L1	16.0	0.027046783625731208
HSPA5	2.0	0.04093567251462005
GOSR2	12.0	-0.014619883040935533
PPP2R5B	12.0	-0.014619883040935533
BFAR	11.0	0.027046783625731208
FBXO44	12.0	-0.014619883040935533
DNAJC18	12.0	-0.014619883040935533
RNFT1	13.0	-0.014619883040935533
SCAMP5	9.0	0.04093567251462005
BCL2L11	12.0	-0.014619883040935533
OPA1	3.0	0.04093567251462005
GORASP2	2.0	0.04093567251462005
CTH	12.0	-0.014619883040935533
CASP4	14.0	-0.014619883040935533
UBXN8	15.0	-0.014619883040935533
CCL2	12.0	-0.014619883040935533
ERP27	15.0	-0.014619883040935533
ATF3	12.0	-0.014619883040935533
