Item ID	Item value	Change in Kuiper test statistic when item removed
RHOXF1	-1.0	-0.012877263581488774
CD83	8.0	0.0014084507042255168
OGG1	9.0	0.0014084507042254057
FAM107A	18.0	0.01569416498993975
ADM	-2.0	-0.012877263581488774
BRCA1	12.0	0.01569416498993975
ENO2	1.0	-0.012877263581488774
NR2E3	9.0	0.0014084507042254057
AQP3	6.0	-0.011686787391012587
TNF	7.0	-0.010496311200536346
AQP1	16.0	0.01569416498993975
CASP9	10.0	0.0014084507042255168
THBD	10.0	0.0014084507042255168
GPER1	-3.0	-0.012877263581488774
TRIM68	8.0	0.0014084507042255168
PMEPA1	0.0	-0.012877263581488774
HMGCS2	13.0	0.01569416498993975
CD36	17.0	0.01569416498993975
CCR5	5.0	-0.012877263581488774
PSPH	10.0	0.0014084507042255168
TP63	18.0	0.01569416498993975
VPS18	16.0	0.01569416498993975
PLA2G4F	9.0	0.0014084507042254057
PRKCE	-4.0	-0.012877263581488774
IRAK3	20.0	0.01569416498993975
DUSP6	5.0	-0.012877263581488774
TGFBR2	-2.0	-0.012877263581488774
AR	10.0	0.0014084507042255168
KCNQ1	4.0	-0.012877263581488774
DDIT4	-1.0	-0.012877263581488774
CRY1	-3.0	-0.012877263581488774
PLCB1	18.0	0.01569416498993975
EZR	-3.0	-0.012877263581488774
CFTR	12.0	0.01569416498993975
HCN3	9.0	0.0014084507042254057
KDM3A	0.0	-0.012877263581488774
PTAFR	4.0	-0.012877263581488774
CXCR4	-3.0	-0.012877263581488774
ATP1A2	19.0	0.01569416498993975
ARNTL	0.0	-0.012877263581488774
RXRB	7.0	-0.010496311200536346
SOCS2	13.0	0.01569416498993975
HSD11B2	-1.0	-0.012877263581488774
BCL2L11	8.0	0.0014084507042255168
RECQL5	10.0	0.0014084507042255168
P2RY2	0.0	-0.012877263581488774
UGT3A2	9.0	0.0014084507042254057
CCL2	8.0	0.0014084507042255168
IGFBP7	18.0	0.01569416498993975
SLIT3	17.0	0.01569416498993975
A2M	18.0	0.01569416498993975
PPARGC1B	1.0	-0.012877263581488774
DUOX2	0.0	-0.012877263581488774
EGR1	4.0	-0.012877263581488774
CDKN2B	7.0	-0.010496311200536346
EGLN2	6.0	-0.011686787391012587
TGFB1	3.0	-0.012877263581488774
HSPA5	-3.0	-0.012877263581488774
CAV1	11.0	0.01569416498993975
AKR1C3	10.0	0.0014084507042255168
KLF2	9.0	0.0014084507042254057
HEYL	11.0	0.01569416498993975
PER1	13.0	0.01569416498993975
GJB2	0.0	-0.012877263581488774
NR4A3	6.0	-0.011686787391012587
CDK5	10.0	0.0014084507042255168
FES	8.0	0.0014084507042255168
ID1	2.0	-0.012877263581488774
KLF9	16.0	0.01569416498993975
SLC26A6	9.0	0.0014084507042254057
HSPA1A	9.0	0.0014084507042254057
