Item ID	Item value	Change in Kuiper test statistic when item removed
RTP4	9.0	0.0064516129032258784
RNASEL	9.0	0.0064516129032258784
CLPB	9.0	0.0064516129032258784
CXCR4	-3.0	-0.026881720430107447
MST1R	7.0	0.0064516129032258784
TNF	7.0	0.0064516129032258784
OASL	5.0	-0.026881720430107447
TRIM5	10.0	0.0064516129032258784
HYAL3	10.0	0.0064516129032258784
CCT5	6.0	-0.026881720430107447
DUOX2	0.0	-0.026881720430107447
BNIP3L	0.0	-0.026881720430107447
HSP90AA1	13.0	0.039784946236559204
RIPK3	8.0	0.0064516129032258784
IL10RB	7.0	0.0064516129032258784
CARD8	9.0	0.0064516129032258784
RNASE6	11.0	0.014784946236559182
IRAK3	20.0	0.039784946236559204
ZDHHC11	0.0	-0.026881720430107447
ITCH	-3.0	-0.026881720430107447
CXCL12	17.0	0.039784946236559204
GPAM	8.0	0.0064516129032258784
IRF1	3.0	-0.026881720430107447
CD207	10.0	0.0064516129032258784
DDIT4	-1.0	-0.026881720430107447
BCL3	3.0	-0.026881720430107447
TRIM35	16.0	0.039784946236559204
IRF7	8.0	0.0064516129032258784
WDFY4	11.0	0.014784946236559182
XPR1	10.0	0.0064516129032258784
BIRC3	9.0	0.0064516129032258784
