Item ID	Item value	Change in Kuiper test statistic when item removed
SERPINE2	-3.0	-0.015306122448979886
ITGB3	-4.0	-0.015306122448979886
TNC	-2.0	-0.015306122448979886
F13A1	19.0	0.026360544217686688
ADM	-2.0	-0.015306122448979886
MTR	-2.0	-0.015306122448979886
EVPLL	9.0	0.0055272108843534284
TNF	7.0	0.005527210884353317
ACTG1	12.0	0.0055272108843534284
THBD	10.0	0.005527210884353317
PLAU	3.0	0.0055272108843534284
DPYSL3	-1.0	-0.015306122448979886
CTSG	16.0	0.005527210884353317
CD36	17.0	0.0055272108843534284
CD34	19.0	0.026360544217686688
PDGFRA	13.0	0.0055272108843534284
TNFRSF12A	4.0	0.0055272108843534284
SYK	8.0	0.005527210884353317
VWF	-3.0	-0.015306122448979886
PRKCE	-4.0	-0.015306122448979886
PLA2G4A	8.0	0.005527210884353317
ANO6	0.0	-0.015306122448979886
TGFBR2	-2.0	-0.015306122448979886
CEACAM1	19.0	0.026360544217686688
TYRO3	11.0	0.005527210884353317
PHLDB2	6.0	0.0055272108843534284
CX3CR1	8.0	0.005527210884353317
NOTCH4	12.0	0.0055272108843534284
CXCR4	-3.0	-0.015306122448979886
FBLN1	17.0	0.0055272108843534284
NREP	13.0	0.0055272108843534284
AURKA	5.0	0.0055272108843534284
TSPAN8	11.0	0.005527210884353317
CLEC7A	-3.0	-0.015306122448979886
ALOX5	3.0	0.0055272108843534284
ST3GAL4	-3.0	-0.015306122448979886
LRIG2	-2.0	-0.015306122448979886
DUOX2	0.0	-0.015306122448979886
TGFB1	3.0	0.0055272108843534284
MPIG6B	9.0	0.0055272108843534284
CAV3	15.0	0.005527210884353317
MCAM	-1.0	-0.015306122448979886
CAV1	11.0	0.005527210884353317
FN1	19.0	0.026360544217686688
RAB27A	10.0	0.005527210884353317
KLF4	18.0	0.005527210884353317
VEGFA	0.0	-0.015306122448979886
CDK5	10.0	0.005527210884353317
NMNAT1	7.0	0.005527210884353317
