Item ID	Item value	Change in Kuiper test statistic when item removed
TBX1	-1.0	-0.02631578947368407
CLIC5	10.0	0.02923976608187151
SERPINE2	-3.0	-0.02631578947368407
CXCR4	-3.0	-0.02631578947368407
NAV2	11.0	0.02923976608187151
TNF	7.0	0.02923976608187151
GJB2	0.0	-0.02631578947368407
LRTOMT	8.0	0.02923976608187151
CXCL12	17.0	0.02923976608187151
STRC	2.0	0.015350877192982448
MYO15A	1.0	0.0014619883040936088
KCNQ1	4.0	0.02923976608187151
CDH23	-2.0	-0.02631578947368407
BIRC5	0.0	-0.02631578947368407
CHRNA10	8.0	0.02923976608187151
ROR1	16.0	0.02923976608187151
TBL1X	12.0	0.02923976608187151
LRIG2	-2.0	-0.02631578947368407
CRYM	0.0	-0.02631578947368407
