Item ID	Item value	Change in Kuiper test statistic when item removed
MUS81	9.0	4.440892098500626E-16
ATAD5	-4.0	-0.041666666666666186
PPP1R10	8.0	-0.0032051282051276386
FOXN3	-2.0	-0.03846153846153799
BRCA1	12.0	0.041666666666667185
HIC1	9.0	4.440892098500626E-16
CASP9	10.0	4.440892098500626E-16
BRIP1	-3.0	-0.03846153846153799
BCL3	3.0	-0.03846153846153799
CRY1	-3.0	-0.03846153846153799
FBXO4	-2.0	-0.03846153846153799
INTS7	9.0	4.440892098500626E-16
TP53BP1	11.0	0.006410256410256832
GTSE1	0.0	-0.03846153846153799
