Item ID	Item value	Change in Kuiper test statistic when item removed
TBX1	-1.0	-0.04093567251461955
OSR2	18.0	0.042397660818713656
PDGFRA	13.0	0.014619883040935977
BMPR2	-4.0	-0.0687134502923975
COL13A1	2.0	7.309941520471375E-4
PLEKHA1	-1.0	-0.04093567251461955
SATB2	12.0	0.014619883040935977
ARID5B	8.0	0.014619883040935977
FOXN3	-2.0	-0.04093567251461955
HOXD10	1.0	-0.04093567251461955
NLE1	9.0	0.014619883040935977
TGFBR2	-2.0	-0.04093567251461955
DCANP1	6.0	0.014619883040935977
TRPV4	1.0	-0.04093567251461955
MGP	16.0	0.042397660818713656
PPARGC1B	1.0	-0.04093567251461955
HOXB6	7.0	0.014619883040935977
HOXD8	17.0	0.042397660818713656
SOX5	16.0	0.042397660818713656
