Item ID	Item value	Change in Kuiper test statistic when item removed
CX3CR1	8.0	0.012315270935960632
AMIGO2	-2.0	-0.023399014778325122
LRP4	0.0	-0.023399014778325344
TNF	7.0	0.012315270935960632
NTN1	19.0	0.04207717569786529
IGSF9	8.0	0.012315270935960632
ACTG1	12.0	0.012315270935960632
ARHGAP44	14.0	0.012315270935960632
FLRT2	9.0	0.012315270935960632
ERBB4	19.0	0.04207717569786529
NPTX1	10.0	0.012315270935960632
EPHB1	-3.0	-0.023399014778325122
NEFH	16.0	0.012315270935960632
PPFIA4	1.0	-0.01744663382594419
LZTS3	-4.0	-0.023399014778325122
SNAPIN	8.0	0.012315270935960632
FZD5	0.0	-0.023399014778325344
ITGA3	5.0	0.012315270935960632
BDNF	-2.0	-0.023399014778325122
COLQ	-3.0	-0.023399014778325122
DNM3	15.0	0.012315270935960632
AFG3L2	-1.0	-0.023399014778325122
CDK5	10.0	0.012315270935960632
CAPRIN1	-3.0	-0.023399014778325122
SPARCL1	18.0	0.012315270935960632
GHRL	20.0	0.04802955665024622
NGEF	1.0	-0.01744663382594419
NECTIN1	0.0	-0.023399014778325344
C1QC	-2.0	-0.023399014778325122
