Item ID	Item value	Change in Kuiper test statistic when item removed
HDAC5	8.0	0.023684210526315308
FGFBP1	-3.0	-0.028947368421053055
BMPR2	-4.0	-0.028947368421053055
TGFB1	3.0	-4.3859649122857114E-4
ANGPT1	17.0	0.03464912280701704
ITGA3	5.0	0.012719298245613686
ITGB3	-4.0	-0.028947368421053055
PRKCE	-4.0	-0.028947368421053055
CIB1	4.0	0.001754385964911842
KLF4	18.0	0.045614035087718774
TNF	7.0	0.023684210526315308
TGFBR2	-2.0	-0.011403508771930193
VEGFA	0.0	-4.3859649122857114E-4
CEACAM1	19.0	0.056578947368420396
RGCC	-3.0	-0.028947368421053055
ID1	2.0	-4.3859649122857114E-4
EVL	11.0	0.023684210526315308
S100P	1.0	-4.3859649122857114E-4
MET	9.0	0.023684210526315308
ADAMTS9	14.0	0.023684210526315308
