Item ID	Item value	Change in Kuiper test statistic when item removed
CDKN2B	7.0	-0.0071428571428571175
TGFB1	3.0	-0.04047619047619022
HSPA5	-3.0	-0.048809523809523525
RASL11B	7.0	-0.0071428571428571175
CAV3	15.0	0.04285714285714304
ITGA3	5.0	-0.03214285714285686
CAV1	11.0	-0.0071428571428570065
NREP	13.0	0.04285714285714304
IL17RD	11.0	-0.0071428571428570065
TGFBR2	-2.0	-0.04047619047619022
FLCN	6.0	-0.023809523809523614
FUT8	11.0	-0.0071428571428570065
ING2	-2.0	-0.04047619047619022
COL1A2	18.0	0.04285714285714304
ZMIZ2	9.0	-0.0071428571428570065
ID1	2.0	-0.04047619047619022
PRDM16	9.0	-0.0071428571428570065
ZYX	11.0	-0.0071428571428570065
PMEPA1	0.0	-0.04047619047619022
FMOD	0.0	-0.04047619047619022
HSPA1A	9.0	-0.0071428571428570065
